account_value,date,daily_return
1038444.1524864956,2025-01-03,
1037138.8286292071,2025-01-06,-0.0012569995739905027
1036556.8661323123,2025-01-07,-0.0005611230443121062
1049954.0104606396,2025-01-08,0.012924659288897411
1038562.1919241557,2025-01-10,-0.010849826204755386
1063543.7078398394,2025-01-13,0.02405394314364573
1069393.4243550526,2025-01-14,0.005500212611943001
1075091.9476851725,2025-01-15,0.005328743566528571
1045677.061330322,2025-01-16,-0.027360344776263146
1047342.2870596405,2025-01-17,0.0015924856639775165
1069159.5457858597,2025-01-21,0.020831068310504408
1063682.0369605692,2025-01-22,-0.005123191245759662
1077904.1121533792,2025-01-23,0.013370607661523648
1078940.831777418,2025-01-24,0.0009617920669842128
1093023.2032929095,2025-01-27,0.013052033161348175
1091905.717148752,2025-01-28,-0.0010223809895261171
1086858.1102940768,2025-01-29,-0.004622749725915587
1088484.168479105,2025-01-30,0.0014961089857332688
1087395.697030113,2025-01-31,-0.0009999883144949928
1086704.4566658707,2025-02-03,-0.0006356842924155615
1086249.7197704965,2025-02-04,-0.00041845498339943
1087441.6386407816,2025-02-05,0.0010972788748218054
1084478.456077246,2025-02-06,-0.002724911809740327
1079045.7653793665,2025-02-07,-0.00500949619371005
1080146.4209177042,2025-02-10,0.0010200267436764054
1081677.8023285014,2025-02-11,0.0014177535389101603
1082714.6253030116,2025-02-12,0.0009585321731464536
1089878.226655379,2025-02-13,0.006616333782655248
1081804.244971787,2025-02-14,-0.007408150274154313
1089208.4460155875,2025-02-18,0.006844307626093338
1091595.673173127,2025-02-19,0.0021917082687634704
1081545.2086708287,2025-02-20,-0.009207131128582513
1065888.6954967603,2025-02-21,-0.014476059852652434
1065945.8643092164,2025-02-24,5.3634880168740295e-05
1066676.6535418786,2025-02-25,0.0006855781865955368
1062687.2457611836,2025-02-26,-0.0037400347775947695
1060940.6740831442,2025-02-27,-0.0016435425239232915
1075064.4299885014,2025-02-28,0.013312484147676606
1061178.5169471425,2025-03-03,-0.012916354270513186
1042794.6005645284,2025-03-04,-0.01732405631005618
1056961.1948824376,2025-03-05,0.013585220243986562
1051577.4945767983,2025-03-06,-0.005093564770122017
1058704.2396667108,2025-03-07,0.006777194383358998
1036552.0806251001,2025-03-10,-0.020923840872295374
1028069.4737989969,2025-03-11,-0.008183483478213294
1027012.190032342,2025-03-12,-0.0010284166523765181
1017455.7078759699,2025-03-13,-0.009305130210841117
1031077.9846547099,2025-03-14,0.013388569815169449
1039390.9764381687,2025-03-17,0.008062427776733605
1036229.4332553702,2025-03-18,-0.0030417266018919475
1040072.8796977759,2025-03-19,0.003709068975517704
1040422.5337878944,2025-03-20,0.0003361822973597661
1040617.8921444922,2025-03-21,0.00018776828668509715
1049630.3547407829,2025-03-24,0.008660683872845798
1043050.0077766429,2025-03-25,-0.006269204138789397
1043833.0154730312,2025-03-26,0.000750690465989523
1042039.9700491725,2025-03-27,-0.0017177512085552182
1030264.8859912273,2025-03-28,-0.01130003108939237
1041627.9799276325,2025-03-31,0.011029293622360603
1037245.9395398648,2025-04-01,-0.004206915014007384
1037619.972156728,2025-04-02,0.00036060166890528045
1027901.5734172986,2025-04-03,-0.009366048264500382
1026873.6815743193,2025-04-04,-0.0009999905336870452
