date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2024-04-22,-100,0,0,0,-100,0,-90,100,75,100,0,0,-7,100,-87,0,-21,0,100,-90,0,-17,0,100,0,-75,1,100
2024-04-23,-78,58,0,-24,-27,100,0,0,-99,-95,0,0,0,-78,0,0,0,0,0,-11,-7,-60,0,100,0,100,-51,0
2024-04-24,0,0,-22,-72,0,-20,0,0,0,0,0,0,0,0,0,0,1,0,2,-25,15,-1,0,0,0,100,-96,-78
2024-04-25,-10,-58,-64,0,99,100,0,0,0,-39,0,0,0,3,0,0,-12,0,-82,-63,0,-7,-16,49,0,0,-100,-11
2024-04-26,0,0,0,0,0,0,0,0,-43,0,0,0,0,-5,0,0,-100,0,0,-53,0,2,0,0,84,-100,-54,100
2024-04-29,55,0,-79,100,0,0,0,0,0,0,0,0,0,-43,-100,0,-86,0,-20,-80,100,-41,0,-40,0,-12,4,-19
2024-04-30,0,0,-55,-17,0,0,1,0,-20,0,0,0,0,-3,-11,0,0,-40,0,0,0,0,1,0,0,96,-51,100
2024-05-01,-100,0,0,-43,0,-62,100,0,0,0,44,0,0,-82,0,0,-82,0,0,0,-75,0,100,-14,100,1,-36,0
2024-05-02,-44,0,100,-40,-15,-100,100,-7,0,0,-44,0,0,0,0,100,0,-17,56,-100,18,89,-100,-61,-98,71,63,-95
2024-05-03,0,0,0,40,-100,0,100,-100,58,100,0,69,0,99,67,0,49,0,100,-100,-65,52,28,-6,45,100,-47,100
2024-05-06,0,89,-2,10,-100,-18,-100,74,100,-100,89,-69,0,-7,96,20,-44,-37,-100,13,17,-14,100,-60,-55,58,-42,-23
2024-05-07,0,100,0,-4,0,100,-21,0,65,0,-35,0,0,2,-66,0,-5,0,0,-35,0,0,0,-68,0,0,-20,100
2024-05-08,100,82,-100,0,0,0,0,-100,-72,100,-7,96,0,-94,0,56,67,-93,-1,58,-100,0,-42,100,-3,-100,32,73
2024-05-09,15,-12,0,0,100,0,-100,0,1,-83,-40,100,0,1,0,-30,100,0,100,-33,0,100,0,-57,0,0,-7,0
2024-05-10,75,0,-90,95,10,-7,2,-6,-100,82,86,-29,0,-1,-62,-69,100,-63,69,0,-3,0,-80,100,-73,0,-49,-35
2024-05-13,-51,100,24,-79,63,-93,3,-20,-52,65,0,-79,66,0,-26,72,-96,-100,-19,100,-100,10,-43,-74,49,35,100,70
2024-05-14,83,-69,100,97,99,84,-15,-100,0,-27,-29,-88,26,0,-9,0,100,-12,-73,-100,0,0,0,-69,-49,90,-42,-63
2024-05-15,100,-65,63,-29,100,100,1,-17,0,-14,-64,100,-2,0,1,0,0,-55,100,-33,-100,0,0,100,0,-100,-100,0
2024-05-16,-100,-100,0,0,-9,0,3,-87,0,0,0,67,-24,0,0,-100,-37,-38,0,0,-36,0,0,100,100,100,100,-3
2024-05-17,-46,-100,-100,0,8,64,71,100,0,0,100,0,0,0,-1,0,94,-95,67,-100,-98,-46,81,0,97,0,-77,1
2024-05-20,70,31,-100,75,-100,15,39,-100,0,87,-100,-70,-51,0,37,-49,-3,-4,31,50,-42,-100,-68,-71,-78,-67,65,33
2024-05-21,48,-8,-19,67,21,-53,40,0,100,92,30,100,21,81,-37,0,-67,-27,-31,-60,-42,27,100,-38,14,100,100,100
2024-05-22,100,86,0,24,0,53,-50,0,-100,-68,0,-63,-25,-66,0,0,-77,-50,100,0,-17,-4,90,-68,100,0,-100,100
2024-05-23,0,-26,0,-48,0,-1,0,0,0,-91,0,32,0,-15,0,0,-38,100,1,-100,0,0,0,-14,100,0,-19,-89
2024-05-24,-100,77,32,100,5,89,-68,0,2,-22,56,-100,-11,0,0,0,-47,-100,-100,-61,-25,57,69,100,-59,-50,-22,-94
2024-05-28,-18,-46,-32,100,100,0,0,0,-2,15,0,0,0,0,0,0,0,100,-5,0,0,-100,-4,0,-25,-8,-100,-30
2024-05-29,-54,-60,17,36,-100,100,-25,5,0,-48,-56,100,0,52,0,37,-12,-98,98,-18,0,-71,66,-100,-4,100,-85,71
2024-05-30,-222,-79,-17,-484,-621,-451,-81,-5,0,-88,-30,-166,0,-52,0,-37,-84,-85,-393,0,0,0,-334,-9,-245,-566,0,-409
2024-05-31,0,93,0,76,0,0,33,28,0,13,0,0,0,0,90,0,0,0,100,0,8,0,0,11,0,98,0,100
2024-06-03,81,12,94,-47,0,0,100,-28,63,-13,0,64,100,0,-21,0,26,100,59,100,-8,0,0,-11,100,31,0,-100
2024-06-04,63,93,100,-29,100,0,40,0,-63,0,0,-22,-100,90,100,0,100,26,-86,-100,0,100,0,100,100,-19,0,44
2024-06-05,-100,-100,56,0,81,100,15,17,0,100,88,-42,0,-9,-100,14,-66,-83,-66,0,3,-23,67,-38,-76,-99,0,71
2024-06-06,100,100,-13,0,-29,100,22,10,100,93,-27,100,56,-81,100,49,-60,-1,9,68,96,-63,-67,12,100,10,24,6
2024-06-07,66,91,-99,100,-21,50,-16,0,27,-13,-38,-100,-3,93,100,-63,0,-42,100,100,-25,-14,0,9,-42,-21,-12,51
2024-06-10,-100,10,-30,100,4,100,-30,37,100,100,-23,63,-53,-93,-37,36,0,0,-51,-37,-74,9,0,-28,-22,0,-12,12
2024-06-11,1,43,-97,-100,-92,-25,-100,24,-100,-89,0,-63,0,0,-13,-36,100,56,-34,100,0,14,0,-36,-100,57,0,-100
2024-06-12,32,-56,54,17,-43,100,-38,-44,100,100,0,0,17,0,-11,0,-29,28,8,59,0,100,51,100,80,-35,0,43
2024-06-13,100,-32,64,27,100,100,36,-44,83,28,49,84,64,1,-68,100,72,-83,-39,-78,0,100,76,-42,53,-22,0,-51
2024-06-14,-11,100,-4,-100,-54,-29,20,0,48,90,58,9,-81,99,36,-50,100,-1,43,100,30,-1,26,-77,100,0,23,-47
2024-06-17,0,-100,0,-44,-29,51,100,0,0,100,0,0,100,-100,100,0,-100,100,1,0,-30,-49,100,100,0,100,0,-1
2024-06-18,0,-55,-100,0,-13,0,-100,0,-9,100,0,-87,100,2,-100,95,100,0,0,0,0,-64,0,0,0,0,-8,0
2024-06-20,0,100,0,0,-4,-73,3,0,0,-6,79,-6,0,0,0,0,0,-76,-19,-55,100,-100,-43,-33,0,-100,-15,-2
2024-06-21,-44,0,100,0,0,0,100,0,1,-31,0,0,-100,-2,0,-100,100,65,100,0,-15,0,-93,100,-15,0,0,100
2024-06-24,0,100,0,0,0,100,0,0,-91,0,0,100,21,0,-56,-1,0,-89,-3,-46,-85,-9,0,0,0,0,0,100
2024-06-25,-21,0,-57,0,0,0,-100,0,0,0,32,100,-100,0,-100,0,-100,0,0,1,100,0,-17,-100,0,0,0,100
2024-06-26,41,-5,100,100,0,-20,-21,0,41,-37,-49,-100,100,0,-20,-44,100,0,32,15,-85,0,64,-67,-27,36,100,-100
2024-06-27,36,-62,100,90,0,85,-9,0,100,-100,66,-58,-30,100,100,30,-31,51,100,-72,-15,0,-25,0,-100,12,95,-74
2024-06-28,-244,-332,-268,-190,0,-639,-55,0,-400,-435,-235,-42,-91,-100,-100,-30,-312,-51,-254,-155,0,0,-139,0,-151,-48,-195,-152
2024-07-01,0,44,0,0,100,0,100,0,0,11,0,19,100,21,39,78,0,100,17,8,100,0,0,0,0,0,0,100
2024-07-02,49,100,67,0,31,100,16,16,13,100,0,-19,-100,78,100,-6,100,100,100,-8,98,28,0,100,0,35,0,-60
