date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2024-04-04,0,-100,19,49,87,2,100,100,-79,100,-28,46,44,-30,-1,-43,-76,-69,-100,100,-12,-13,45,0,0,-1,-100,0
2024-04-05,0,-94,100,39,-69,-2,-100,-33,-45,-100,100,-100,-74,-37,78,74,100,100,-58,-17,42,0,-45,34,-27,-14,-100,0
2024-04-08,0,-59,50,-88,-97,100,35,-33,100,20,-34,-67,-37,0,94,64,-100,20,-100,-84,76,31,0,-31,0,100,-55,0
2024-04-09,100,-16,-44,0,-15,-100,2,-4,0,65,-66,-1,100,0,56,-21,-44,51,-100,-80,88,-4,0,100,21,-96,100,0
2024-04-10,-4,-55,-33,0,0,0,0,-100,-12,0,0,-67,100,100,0,-62,0,100,0,0,6,0,100,0,-21,0,0,100
2024-04-11,-79,0,0,0,100,0,0,-100,0,100,0,0,100,1,-100,-100,2,-87,-15,0,62,-27,-8,0,0,-100,0,-43
2024-04-12,0,0,0,0,0,31,0,0,0,0,0,-100,0,100,100,-30,0,100,0,0,0,0,100,-63,0,-100,1,-57
2024-04-15,100,0,0,0,0,-31,87,28,1,100,0,-35,0,72,0,0,-2,0,0,-12,-33,0,-16,-37,0,-100,-1,0
2024-04-16,100,100,-85,0,-34,0,-100,100,100,-100,37,-16,-100,-48,-2,0,0,85,0,0,-13,0,0,-3,0,0,-7,1
2024-04-17,0,-85,0,0,-6,0,-100,29,0,-100,0,-7,-100,-98,-60,0,100,100,0,0,100,100,-73,100,0,0,-100,100
2024-04-18,60,-15,66,100,29,0,-37,0,-2,-41,-37,0,-100,2,-26,0,100,72,0,-82,75,-76,-51,-88,0,-21,67,-100
2024-04-19,0,0,33,-4,0,0,4,-42,-100,-21,0,0,-100,-21,0,0,100,0,0,-100,100,100,0,-12,0,-27,100,0
