account_value,date,daily_return
1056077.200860696,2024-04-04,
1066274.0039529428,2024-04-05,0.009655357661292774
1062275.1065838519,2024-04-08,-0.003750346866064458
1060688.6975375223,2024-04-09,-0.0014934069682110973
1053867.077007821,2024-04-10,-0.0064313125477232225
1054442.4469631128,2024-04-11,0.0005459606508682047
1043065.4648474245,2024-04-12,-0.01078957144456294
1038938.9895831423,2024-04-15,-0.003956103814525047
1033550.7244459201,2024-04-16,-0.005186315261288099
1035055.0426792308,2024-04-17,0.001455485635808662
1032499.1965969097,2024-04-18,-0.0024692851847814
1034886.4696068622,2024-04-19,0.0023121306223006233
1042274.8487457935,2024-04-22,0.007139313688909299
1053388.9453189175,2024-04-23,0.01066330688733208
1054268.74484575,2024-04-24,0.0008352086195153596
1038616.8672218143,2024-04-25,-0.014846193345346426
1043297.631587083,2024-04-26,0.004506728624376288
1044758.7212197334,2024-04-29,0.0014004533207150338
1021126.0179542648,2024-04-30,-0.022620249810289095
1022632.0149536697,2024-05-01,0.001474839513365911
1028995.4859046928,2024-05-02,0.006222640067953922
1032193.1181040909,2024-05-03,0.003107527917468822
1041630.3422702667,2024-05-06,0.009142886152457397
1040671.1211261094,2024-05-07,-0.0009208844109386272
1044132.6931597627,2024-05-08,0.0033262881648021825
1052288.3520742487,2024-05-09,0.0078109410498443665
1059416.2541225408,2024-05-10,0.006773715621047893
1056949.2106418775,2024-05-13,-0.0023286819237133827
1059582.3988138784,2024-05-14,0.0024913100322028203
1071280.6905895818,2024-05-15,0.011040473859134314
1065795.7962131246,2024-05-16,-0.005119941416510176
1070617.2654910025,2024-05-17,0.004523820881081608
1069977.1786937308,2024-05-20,-0.000597867060343038
1067488.0614490218,2024-05-21,-0.002326327415457463
1061762.9366741444,2024-05-22,-0.0053631745231006445
1045169.8584804569,2024-05-23,-0.015627855918255662
1042111.7611277176,2024-05-24,-0.0029259333570769153
1034164.8425241142,2024-05-28,-0.007625783433250599
1018983.7672517449,2024-05-29,-0.01467955073324334
998481.9930953766,2024-05-30,-0.02011982409853552
997525.9845791222,2024-05-31,-0.0009574619501057091
997729.2995514618,2024-06-03,0.00020381922424350662
999352.1175551316,2024-06-04,0.0016265113236619833
997949.3307105841,2024-06-05,-0.0014036962747218107
997521.1481954778,2024-06-06,-0.00042906238015250064
994205.2066686717,2024-06-07,-0.003324181680563476
994656.8618616343,2024-06-10,0.00045428769627542387
989184.7529980041,2024-06-11,-0.005501504160327686
987153.6951653168,2024-06-12,-0.002053264394271781
982771.9461766654,2024-06-13,-0.0044387707913281504
982729.3480514575,2024-06-14,-4.3344873013051455e-05
986180.4772407466,2024-06-17,0.0035117799179722464
989288.8421063625,2024-06-18,0.003151922936370344
998223.1822290965,2024-06-20,0.009031073375609155
994510.7786435062,2024-06-21,-0.003719011591476251
1004346.5118555346,2024-06-24,0.009890021730527776
997726.3300146,2024-06-25,-0.006591531670383177
996022.2457459003,2024-06-26,-0.0017079676234210694
996386.3584340947,2024-06-27,0.00036556682318034106
1002351.93860621,2024-06-28,0.005987215824081238
1001386.1853016865,2024-07-01,-0.0009634872416832696
1001676.8873077384,2024-07-02,0.00029029959701731833
1003013.3574558441,2024-07-03,0.0013342327900744966
