account_rewards,date
48.087517986190505,2024-01-03
518.4282742540818,2024-01-04
5754.4987005883595,2024-01-05
-2719.8275752754416,2024-01-08
4204.205467727617,2024-01-09
1826.394800903392,2024-01-10
-6389.54120928573,2024-01-11
-5828.47180427541,2024-01-12
-1886.400180133758,2024-01-16
1853.0724058836931,2024-01-17
6901.923349365359,2024-01-18
4757.744430187275,2024-01-19
2172.5189262198983,2024-01-22
-3607.5745871276595,2024-01-23
-723.9740358009003,2024-01-24
7342.4123596039135,2024-01-25
5387.2583094940055,2024-01-26
4443.205231723725,2024-01-29
-9573.158800224308,2024-01-30
10668.960725414334,2024-01-31
2424.286579593667,2024-02-01
-7899.680095283547,2024-02-02
1240.3738154679304,2024-02-05
3026.3886326523498,2024-02-06
4580.149950561463,2024-02-07
-405.29269884864334,2024-02-08
614.7156841811957,2024-02-09
-16540.666962711257,2024-02-12
6878.865431571961,2024-02-13
9769.661389327957,2024-02-14
-2241.5301775168628,2024-02-15
-3472.524082973483,2024-02-16
72.85763945395593,2024-02-20
10608.734737041406,2024-02-21
2025.515885379864,2024-02-22
-1483.4179172936128,2024-02-23
960.4794293404557,2024-02-26
71.80207743064966,2024-02-27
3122.341932865209,2024-02-28
2837.533088439959,2024-02-29
-1292.156883552554,2024-03-01
-11345.085180233,2024-03-04
4316.668910640641,2024-03-05
8277.512831146247,2024-03-06
-2314.5000027045608,2024-03-07
-592.9987580107991,2024-03-08
7823.908472522628,2024-03-11
4977.135016288841,2024-03-12
-4509.1462562409,2024-03-13
-46.60447214881424,2024-03-14
3136.1535063399933,2024-03-15
7264.17864120868,2024-03-18
8775.734194057295,2024-03-19
6695.74524222943,2024-03-20
-9606.674574676435,2024-03-21
-2396.5790749511216,2024-03-22
-966.9304023131263,2024-03-25
18635.097341651795,2024-03-26
1140.7695686456282,2024-03-27
-5354.124176338315,2024-03-28
-5558.307324279798,2024-04-01
2877.246421341086,2024-04-02
