account_rewards,date
6246.682240442373,2024-10-03
-14655.081124073127,2024-10-04
2008.1068112144712,2024-10-07
12020.235876380932,2024-10-08
3052.296425529523,2024-10-09
7828.360869241646,2024-10-10
10398.087622520514,2024-10-11
-34850.634907180676,2024-10-14
18065.080022407463,2024-10-15
5530.93321078294,2024-10-16
2571.2535324268974,2024-10-17
-5024.726334671024,2024-10-18
-2628.0485083160456,2024-10-21
-11489.758963176748,2024-10-22
-4553.739556880901,2024-10-23
-1161.508921756642,2024-10-24
4814.646367050009,2024-10-25
-7683.990974548273,2024-10-28
2795.1927405451424,2024-10-29
67.1186752319336,2024-10-30
4228.791272770148,2024-10-31
-12724.912063598633,2024-11-01
14136.69327560789,2024-11-04
42720.78133415221,2024-11-05
-1121.6158270491287,2024-11-06
1909.4372658806387,2024-11-07
5878.147478511557,2024-11-08
-10663.379902431276,2024-11-11
-1847.5532647592481,2024-11-12
-6562.847641036846,2024-11-13
-1546.4185930117965,2024-11-14
1002.3618155403528,2024-11-15
-10668.594447013922,2024-11-18
13035.14394906233,2024-11-19
5294.451709598536,2024-11-20
6150.813712213421,2024-11-21
18906.94467160036,2024-11-22
781.8155953865498,2024-11-25
529.102910293499,2024-11-26
5227.090336567024,2024-11-27
-4500.391253326321,2024-11-29
-5112.79574274458,2024-12-02
4776.632560531609,2024-12-03
-28469.86598851392,2024-12-04
-24130.977203239454,2024-12-05
11172.280017852783,2024-12-06
1057.058711208403,2024-12-09
-30656.382341945544,2024-12-10
-20020.09225839819,2024-12-11
3963.773487487808,2024-12-12
-19335.193846511887,2024-12-13
-14658.638524347218,2024-12-16
1272.5211420783307,2024-12-17
-12796.17541979975,2024-12-18
17742.101631498314,2024-12-19
5868.811866760254,2024-12-20
3753.3854188652476,2024-12-23
6740.483846691088,2024-12-24
-4579.9427421397995,2024-12-26
-7563.40785826114,2024-12-27
-2442.0987510681152,2024-12-30
-3130.608412696747,2024-12-31
