date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2025-04-07,100,100,100,0,100,0,0,100,100,0,100,100,100,0,0,0,0,0,100,100,0,100,100,0,100,100,100,0
2025-04-08,100,100,100,0,100,0,0,100,100,0,100,100,100,0,0,0,0,0,100,100,0,100,100,0,100,100,100,0
2025-04-09,100,100,100,0,100,0,0,100,100,0,100,100,100,0,0,0,0,0,100,100,0,100,100,0,100,100,100,0
2025-04-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,18,100,100,0
2025-04-11,0,-100,61,100,100,0,0,100,1,0,-100,100,100,0,0,0,0,0,1,-100,0,0,100,0,-55,-99,100,0
2025-04-14,0,-99,0,0,95,0,0,100,0,0,-100,100,100,0,0,0,0,0,0,-100,0,1,100,0,0,-99,100,0
2025-04-15,0,-99,0,0,100,0,0,100,0,0,-100,22,100,0,0,0,0,0,100,-100,0,0,100,0,0,-99,100,0
2025-04-16,0,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,-100,100,0
2025-04-17,-300,0,-361,-100,-595,0,0,-601,-301,0,0,-522,-600,0,0,0,0,0,-501,0,0,-302,-703,0,-263,-3,-800,0
2025-04-21,100,100,100,0,100,0,0,100,100,0,100,100,100,0,0,0,0,0,100,100,0,100,100,0,100,100,100,0
2025-04-22,100,100,100,0,100,0,0,100,100,0,100,100,100,0,0,0,0,0,100,100,0,100,100,0,100,100,100,0
2025-04-23,100,100,100,0,100,0,0,100,100,0,100,100,100,0,0,0,0,0,100,100,0,100,100,0,100,100,100,0
2025-04-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,70,100,100,0
2025-04-25,-99,-100,100,31,100,0,0,100,-85,0,-100,0,100,0,0,0,0,0,100,-100,0,0,100,0,0,-100,100,0
2025-04-28,-99,-100,91,0,100,0,0,100,0,0,-100,0,100,0,0,0,0,0,100,-100,0,1,100,0,0,-100,100,0
2025-04-29,-99,-100,31,0,100,0,0,100,1,0,-100,0,0,0,0,0,0,0,100,-100,0,1,100,0,100,-100,100,0
2025-04-30,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,22,0,0,0,0,0,100,-100,100,0
2025-05-01,0,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
2025-05-02,0,0,0,0,0,0,0,0,0,0,0,-39,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,0
2025-05-05,0,0,0,0,0,0,0,1,0,0,0,-88,0,0,0,0,0,0,1,0,0,0,0,0,33,0,100,0
2025-05-06,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,2,0,0,27,0,100,0
2025-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-08,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,100,0
2025-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
