date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2025-02-13,43,36,-100,-100,36,-12,100,0,0,0,0,100,32,1,-100,-91,0,-36,100,-68,100,91,15,-100,93,7,83,-35
2025-02-14,-100,-90,-48,78,100,24,100,0,0,0,1,84,92,-100,-100,-63,0,-15,-49,-19,-90,-10,-19,-31,-93,59,100,-59
2025-02-18,30,-38,58,-41,47,66,-100,0,4,15,-1,100,-100,96,-100,100,0,0,-2,-87,85,-100,0,0,100,73,-33,-65
2025-02-19,10,-81,63,0,-31,-99,-17,0,59,-15,68,58,-49,-35,-11,81,100,0,0,-5,-22,100,-100,93,-81,71,6,82
2025-02-20,-70,100,-100,-8,45,-16,-9,100,74,0,8,-80,0,87,-87,57,-62,0,-100,2,-30,0,64,-93,76,-38,100,100
2025-02-21,0,0,-21,0,0,-98,-89,100,0,0,-3,35,0,1,0,0,1,0,0,100,0,0,-97,0,0,100,-100,-25
2025-02-24,-6,-100,100,0,0,100,-52,0,33,0,-6,0,-100,1,0,-48,-39,0,0,-100,0,0,-9,100,0,0,0,0
2025-02-25,0,-51,0,0,0,0,-57,-45,29,0,-27,-37,0,1,0,0,0,0,-44,-1,100,-100,-63,0,100,-36,-100,-35
2025-02-26,0,0,-43,1,100,24,0,0,100,0,0,0,-68,-100,0,0,0,0,100,100,-100,-72,0,100,-35,-20,1,0
2025-02-27,0,0,0,-5,0,100,100,-30,-100,0,0,-38,-31,-30,0,0,0,0,-72,100,0,100,100,-3,-86,66,3,-100
2025-02-28,0,0,-57,1,0,53,0,-100,-68,0,0,-45,100,100,0,-16,0,0,0,100,-40,-7,-100,-39,100,0,0,-22
2025-03-03,0,0,0,-98,100,-77,0,-25,0,0,-40,-29,0,0,0,-100,2,0,97,-100,0,100,100,-45,69,0,-80,91
2025-03-04,0,72,0,-26,0,0,-100,62,0,0,0,71,-100,0,0,0,94,100,-62,-74,0,1,0,-38,0,-72,100,0
2025-03-05,1,100,0,-100,-77,100,-54,0,0,0,67,-38,78,-31,0,0,1,-91,-100,-71,3,88,-100,0,100,-100,84,-91
2025-03-06,-1,100,80,-15,-37,-100,85,1,58,31,-53,100,-30,-22,100,-62,-28,99,100,0,-89,58,-100,0,-2,-100,-24,100
2025-03-07,0,0,0,34,0,0,0,-63,-100,100,100,-88,100,100,-85,100,-21,-53,0,-56,-10,-100,100,-67,-56,-100,-37,0
2025-03-10,36,-100,-17,7,34,72,-10,0,-67,-100,-40,-100,100,100,7,-10,-48,35,-50,85,-43,100,100,-8,-100,-100,-100,-77
2025-03-11,-36,-59,-14,-100,38,-100,100,100,-3,74,-74,100,-100,100,97,18,60,2,11,100,31,-43,21,0,27,47,72,100
2025-03-12,0,100,-43,-31,100,100,-44,-83,-19,-79,0,-75,-100,60,-35,-16,100,-21,-62,-92,34,13,-39,0,-31,-80,3,64
2025-03-13,0,-19,20,100,-65,-100,100,100,100,19,0,53,36,-82,3,13,100,-39,100,-93,18,-67,51,100,-100,-78,100,16
2025-03-14,0,100,58,61,-83,-16,100,44,13,-31,0,-76,-60,55,14,-48,-100,-21,-18,0,-100,-100,-7,-47,100,79,100,39
2025-03-17,20,97,-84,-17,-84,78,-35,-100,-98,27,100,-15,-35,-39,-92,100,30,98,-33,0,-100,-34,78,-46,61,0,-76,100
2025-03-18,87,100,0,-100,13,56,-100,85,100,-41,-34,-100,0,6,45,-63,-76,100,-49,0,-6,57,83,-7,55,100,-17,50
2025-03-19,-34,100,0,1,-100,42,-100,-100,-94,0,90,-73,0,-8,-43,0,-50,100,0,92,-62,-100,0,68,0,50,100,-28
2025-03-20,-66,56,0,-57,100,-45,0,-14,0,0,-100,86,0,0,-11,-100,100,0,100,0,0,4,-100,100,0,0,0,0
2025-03-21,34,-74,100,-61,-22,-28,3,-32,-21,100,0,-81,0,96,0,0,0,-100,-69,0,0,-89,0,100,0,0,0,0
2025-03-24,72,60,-84,-34,-11,46,-99,0,40,-100,20,36,0,-29,0,100,38,-49,-31,28,0,67,100,36,35,-100,-31,76
2025-03-25,-100,0,9,0,0,-4,2,0,0,0,0,-37,0,-30,0,-17,0,100,0,0,0,100,0,0,0,0,100,-67
2025-03-26,-13,0,40,0,-26,0,0,1,-40,100,-76,-12,0,100,0,-1,100,0,0,-70,0,-100,0,100,-100,0,-70,100
2025-03-27,0,0,-65,0,0,0,61,-1,0,0,0,100,0,100,0,0,100,-18,0,0,0,-65,-12,0,0,-8,100,-58
2025-03-28,0,36,0,0,-35,-88,-17,100,0,-35,0,100,0,3,0,100,-83,-100,0,-35,0,-3,0,-49,100,-55,-100,100
2025-03-31,0,100,0,0,-100,-28,-46,24,56,-65,0,0,33,73,100,21,75,-100,0,40,39,0,-100,9,12,-58,-35,-100
2025-04-01,0,-100,0,68,33,-21,68,75,-37,0,0,31,-16,11,18,100,-39,-42,0,-44,100,0,-24,46,-100,100,-73,-7
2025-04-02,0,0,0,-68,0,-25,-16,-100,-19,0,0,-49,0,-67,0,0,0,0,9,0,0,0,0,-78,100,100,-8,0
2025-04-03,0,-669,0,0,-75,-363,-52,-99,0,0,0,-182,-17,-794,-118,-309,-355,0,-9,-11,-139,0,-328,-332,-344,-281,-355,-408
