date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2025-01-03,-6,0,0,0,-100,0,-86,-19,100,0,-100,-100,0,-100,1,0,-1,35,100,0,0,-32,0,100,100,0,0,1
2025-01-06,-19,100,0,0,0,0,0,0,1,100,21,-100,0,0,0,0,0,-100,-100,0,0,-1,0,-100,0,0,0,-2
2025-01-07,-89,0,0,43,0,0,0,0,-65,-21,100,-27,0,-2,-1,0,0,-5,0,0,0,100,0,0,-9,0,3,0
2025-01-08,-100,-50,0,0,0,100,0,0,82,100,-39,-42,0,0,0,0,0,-100,-100,0,0,-38,0,100,-100,65,100,100
2025-01-10,-8,-49,0,0,32,0,0,0,100,-51,0,-87,0,0,0,0,0,100,-25,0,100,0,0,-100,0,0,-89,-23
2025-01-13,0,-4,0,-23,100,63,0,0,-31,-45,100,0,0,0,0,100,0,-82,-1,100,0,-33,0,0,-100,-31,0,-77
2025-01-14,0,-67,100,-20,-45,7,100,100,-100,-83,-89,0,0,0,0,100,75,100,-80,4,-100,33,30,58,-18,-34,100,49
2025-01-15,0,-92,6,45,1,-23,-100,8,41,0,-27,27,0,100,0,20,-6,20,-13,100,35,100,-30,63,-100,0,-100,27
2025-01-16,100,51,-100,-45,55,-91,94,-100,100,0,-100,-23,19,95,0,-8,3,-100,0,-39,-35,100,0,-100,-56,0,-14,15
2025-01-17,-99,-51,-6,24,100,-37,100,-7,-44,0,100,-4,-19,100,100,100,-72,-83,5,-100,13,28,57,-6,-12,100,0,40
2025-01-21,100,0,11,100,-38,-9,81,11,-84,100,-33,100,64,-60,36,-100,100,-54,-5,100,56,100,-57,96,76,-100,0,-19
2025-01-22,-100,0,-11,0,0,0,-100,0,-8,97,0,-25,-64,1,-53,0,0,-3,100,100,-21,-51,0,100,-29,0,0,-16
2025-01-23,-1,0,0,-69,-27,100,1,0,0,0,0,0,0,-77,0,-52,0,100,0,100,-48,-10,35,0,-13,0,0,-96
2025-01-24,0,0,0,-54,0,0,-100,1,-100,0,86,-75,0,2,100,100,-26,0,0,100,100,-52,-35,-100,-100,0,0,0
2025-01-27,0,0,0,0,0,0,0,-13,0,0,-100,0,0,1,-61,0,-15,-2,0,-100,0,-100,100,45,0,100,0,100
2025-01-28,0,0,0,0,-1,100,-76,0,0,-97,-16,33,0,100,100,0,2,-9,100,-100,-29,100,0,0,100,-100,0,-47
2025-01-29,73,0,0,1,100,100,0,0,0,-40,-61,-33,0,1,-48,0,100,-74,-55,-52,-67,100,-100,-100,100,0,0,100
2025-01-30,-73,0,0,-2,-277,-310,0,0,-158,-60,-126,0,0,-263,-174,-260,-161,-15,-145,-213,-4,-413,0,-56,-1010,0,0,-153
2025-01-31,0,0,100,0,0,23,0,0,0,0,100,0,0,0,0,0,0,0,12,73,44,39,0,0,0,8,0,0
2025-02-03,0,0,26,0,100,-23,0,43,0,89,-100,63,0,100,0,34,4,62,100,2,-44,100,0,0,0,89,69,0
2025-02-04,29,0,53,2,63,93,0,-43,88,-89,50,2,0,100,0,-13,79,-48,36,58,17,-85,54,0,0,100,97,7
2025-02-05,100,0,-100,100,-57,63,19,10,-50,0,100,-49,0,-91,100,0,-83,-14,80,-94,25,100,-33,0,0,100,-60,71
2025-02-06,-50,0,-79,100,67,-3,25,100,-38,0,47,22,67,100,100,100,100,0,-100,88,100,-88,-21,0,21,84,-56,-78
2025-02-07,-79,100,0,100,-58,-22,100,7,49,79,-73,41,72,-100,-80,100,-66,0,33,80,100,21,100,100,24,-87,100,63
2025-02-10,0,27,70,8,9,94,-12,-73,-49,-22,-96,-79,-6,12,99,29,-34,0,52,100,21,-25,89,100,-45,80,-10,100
2025-02-11,12,-3,28,100,-98,43,-54,-1,12,-57,-6,8,94,100,100,4,0,0,-96,-44,84,-11,100,31,0,100,13,-5
2025-02-12,81,100,50,100,-26,91,100,-43,-12,0,-22,93,8,55,79,-100,0,51,16,-84,-26,60,97,-100,0,-100,34,1
