date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2024-07-05,-49,-100,100,0,-100,-100,100,100,100,100,0,0,0,-99,-100,-72,-100,-100,100,100,100,-28,100,100,100,100,0,-40
2024-07-08,0,-44,100,0,-31,0,100,100,100,100,0,0,0,0,-39,0,0,-100,100,100,100,0,100,100,100,100,0,0
2024-07-09,0,0,100,0,0,0,100,100,100,42,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
2024-07-10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2024-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-26,0,0,-367,0,0,0,-418,-316,-313,-353,0,0,0,0,0,0,0,0,-417,-300,-498,0,-300,-400,-300,-336,0,0
2024-07-29,0,0,100,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
2024-07-30,0,0,100,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
2024-07-31,0,0,100,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
2024-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,100,78,0,100,100,100,100,0,0
2024-08-02,0,0,-300,0,0,0,-301,-300,-300,-300,0,0,0,0,0,0,0,0,-400,-400,-378,0,-400,-400,-400,-400,0,0
2024-08-05,0,0,100,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
2024-08-06,0,0,100,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
2024-08-07,0,0,100,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
2024-08-08,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,100,0,0
