account_rewards,date
10196.803092246875,2024-04-04
-3998.8973690909334,2024-04-05
-1586.409046329558,2024-04-08
-6821.620529701235,2024-04-09
575.3699552917387,2024-04-10
-11376.982115688268,2024-04-11
-4126.475264282199,2024-04-12
-5388.265137222246,2024-04-15
1504.3182333107106,2024-04-16
-2555.8460823211353,2024-04-17
2387.273009952507,2024-04-18
7388.379138931283,2024-04-19
11114.096573124058,2024-04-22
879.7995268325321,2024-04-23
-15651.877623935696,2024-04-24
4680.764365268638,2024-04-25
1461.0896326503716,2024-04-26
-23632.70326546859,2024-04-29
1505.9969994049752,2024-04-30
6363.470951023046,2024-05-01
3197.6321993981255,2024-05-02
9437.224166175816,2024-05-03
-959.2211441573454,2024-05-06
3461.5720336532686,2024-05-07
8155.658914486063,2024-05-08
7127.902048292104,2024-05-09
-2467.0434806633275,2024-05-10
2633.188172000926,2024-05-13
11698.29177570343,2024-05-14
-5484.894376457203,2024-05-15
4821.469277877826,2024-05-16
-640.0867972716223,2024-05-17
-2489.1172447090503,2024-05-20
-5725.124774877448,2024-05-21
-16593.078193687485,2024-05-22
-3058.097352739307,2024-05-23
-7946.918603603379,2024-05-24
-15181.075272369315,2024-05-28
-20501.77415636822,2024-05-29
-956.0085162544856,2024-05-30
203.31497233966365,2024-05-31
1622.8180036697304,2024-06-03
-1402.7868445474887,2024-06-04
-428.18251510628033,2024-06-05
-3315.9415268060984,2024-06-06
451.6551929626148,2024-06-07
-5472.108863630216,2024-06-10
-2031.0578326872783,2024-06-11
-4381.748988651438,2024-06-12
-42.598125207819976,2024-06-13
3451.1291892890586,2024-06-14
3108.3648656158475,2024-06-17
8934.34012273408,2024-06-18
-3712.4035855903057,2024-06-20
9835.733212028397,2024-06-21
-6620.181840934674,2024-06-24
-1704.084268699633,2024-06-25
364.1126881943783,2024-06-26
5965.580172115355,2024-06-27
-965.7533045235323,2024-06-28
290.70200605189893,2024-07-01
1336.47014810564,2024-07-02
