date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2024-10-03,0,0,0,0,0,0,-76,-99,0,0,0,0,0,1,0,0,0,85,0,-69,0,0,1,0,0,0,0,0
2024-10-04,0,0,-82,0,0,0,-82,0,0,0,0,0,0,3,0,0,0,43,-99,-55,-99,0,100,0,99,0,0,0
2024-10-07,0,0,0,0,0,0,-89,0,0,-36,0,0,0,0,0,0,0,0,0,-70,0,0,1,0,51,0,0,0
2024-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-99,0,-62,0,0,2,0,62,0,0,0
2024-10-09,0,0,0,100,0,0,0,-99,0,-79,0,0,0,1,0,1,0,0,0,-52,0,0,0,0,75,0,0,0
2024-10-10,0,0,-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-65,-37,42,0,2,0,0,0,0,0
2024-10-11,0,0,0,100,0,0,-53,0,0,-43,0,0,0,0,0,0,0,0,0,-28,0,0,0,0,21,0,0,0
2024-10-14,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-15,0,0,1,-6,25,0,0,1
2024-10-15,0,0,0,-99,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,-8,-100,0,0,0,99,0,0,0
2024-10-16,0,0,-77,-22,0,0,1,0,0,-40,0,0,0,1,0,0,0,99,-96,-4,-92,99,19,0,99,0,0,0
2024-10-17,0,0,0,0,0,0,0,-76,0,-6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,0,0,0
2024-10-18,0,0,0,0,0,0,1,-26,0,-84,50,0,0,0,0,0,0,99,0,0,-99,99,-93,-39,99,0,0,0
2024-10-21,0,0,-24,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,-25,0,0,0,1,0,0,36,0,0,0
2024-10-22,0,0,-99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,1,-5,0,0,0,1
2024-10-23,0,0,-55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,26,0,0,0
2024-10-24,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-48,0,0,6,0,0,0
2024-10-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-85,0,0,11,0,0,0
2024-10-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,76,0,0,0
2024-10-29,0,0,0,0,0,0,1,0,0,0,0,1,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-31,0,0,0,0,0,0,-7,2,0,0,0,0,0,1,0,0,1,0,0,0,0,-66,0,0,9,0,0,0
2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-18,0,0,0,13,0,0,0
2024-11-05,0,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,-2,0,3,0,0,0,0,0,0,0,0,0
2024-11-06,0,0,0,0,0,0,-1,0,-300,0,-50,-3,0,-1,-1,0,0,-216,-145,0,0,0,-435,-350,-1232,-400,0,-2
2024-11-07,86,88,0,72,93,0,48,82,94,84,93,88,43,25,62,59,94,61,68,0,72,23,66,92,98,86,57,92
2024-11-08,84,78,34,92,97,94,80,94,81,92,95,85,70,97,37,83,17,97,95,66,78,98,92,38,61,52,54,-53
2024-11-11,0,0,-34,0,96,0,-89,0,0,0,96,0,99,3,0,0,92,1,0,-65,60,0,91,91,98,0,0,0
2024-11-12,52,0,0,99,-21,-62,0,99,0,-95,0,99,-61,1,1,99,-7,-87,0,-1,-99,99,99,0,99,0,-93,-8
