date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2024-11-13,0,0,0,0,0,-32,1,-84,0,-23,0,0,-6,0,0,0,0,1,0,0,0,0,0,0,65,0,-18,0
2024-11-14,0,0,0,0,0,0,36,-88,0,-58,0,99,-43,1,0,-99,-53,99,0,0,-81,99,0,0,99,0,0,0
2024-11-15,0,0,0,0,0,0,2,0,0,0,0,0,-13,0,0,-92,-27,0,0,0,-30,0,1,0,52,0,0,99
2024-11-18,0,0,0,-92,0,0,2,0,0,0,0,0,0,0,0,-50,0,0,0,0,0,-46,0,0,60,0,0,-73
2024-11-19,0,0,0,0,0,0,1,-31,0,0,0,0,-4,0,0,0,0,56,0,0,0,-76,0,0,0,0,0,-57
2024-11-20,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024-11-21,0,0,0,-99,0,0,0,0,0,0,0,0,-37,1,-7,0,0,38,99,0,0,0,1,0,0,0,0,0
2024-11-22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-93,41,0,0,0
2024-11-25,0,0,0,-59,0,0,0,-54,0,0,0,0,0,2,0,0,0,-20,0,0,0,0,0,0,39,0,0,0
2024-11-26,0,0,0,3,0,0,0,0,0,0,0,0,-8,2,0,0,0,0,0,0,0,1,-98,0,31,0,0,0
2024-11-27,0,0,0,0,0,0,1,0,0,0,0,0,-24,2,-93,0,-10,1,0,0,0,0,0,0,33,0,0,0
2024-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-69,0,-3,0,0,0,3,-89,46,0,0,0
2024-12-02,0,0,0,-17,0,0,-1,0,0,0,0,0,-15,0,0,0,0,1,-10,0,0,1,0,-39,33,-8,0,0
2024-12-03,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-37,0,1,0,0,0,-38,0,16,0,0,0
2024-12-04,0,0,0,0,-16,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0
2024-12-05,0,0,0,0,-19,0,1,0,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0
2024-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-09,0,0,0,0,-25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,-3,1,0,0,0,0,1
2024-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-22,0,-99,0,61,-24,0,0
2024-12-11,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-17,0,0,0,0,0,0,-47,0,22,0,0,0
2024-12-12,0,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,-13,0,0,0,0,44,0,1,0,0,-31,0,0
2024-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-33,0,0,0,25,0,0,0,0,0
2024-12-16,0,0,0,0,-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-99,0,51,-9,0,0
2024-12-17,0,0,0,0,-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,0,1,0,65,-11,0,0
2024-12-18,0,0,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0
2024-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3,0,1,0,0,0
2024-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-23,0,0,0,0,-26,0,0,0,0,0,0,-16,0,1,0,0,0,0,0,0,0,-95,0,0,40,0,0,0
2024-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0,-46,0,0,0,0,0,0,0,2,0,0,37,-55,0,0
2024-12-26,0,0,0,0,0,0,0,0,-8,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2024-12-27,0,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2024-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-31,0,-4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-36,0,0,7,0,0,0
