account_rewards,date
-3433.2758934021695,2025-04-07
46679.69761161797,2025-04-08
-24065.55189399724,2025-04-09
17211.4818959618,2025-04-10
7502.853679458611,2025-04-11
-3868.4478371811565,2025-04-14
-14490.470804000739,2025-04-15
-23034.510041885427,2025-04-16
-1029.3458329086425,2025-04-17
7310.328951263102,2025-04-21
4399.832630157587,2025-04-22
4445.095201110933,2025-04-23
-2549.8563723220723,2025-04-24
5028.206355659524,2025-04-25
4043.812260227278,2025-04-28
1889.4994350203779,2025-04-29
-5763.168314178474,2025-04-30
18754.088223976083,2025-05-01
683.4107982178684,2025-05-02
-10194.663534286665,2025-05-05
2860.2220193787944,2025-05-06
5621.082221984863,2025-05-07
-2319.162824554369,2025-05-08
28746.647789001465,2025-05-09
-33238.496421813965,2025-05-12
-8182.106086730957,2025-05-13
-12081.085296630976,2025-05-14
17665.19850158703,2025-05-15
15444.855712890625,2025-05-16
-820.190055847168,2025-05-19
-30021.14546203625,2025-05-20
-3338.275146484375,2025-05-21
-2818.492790222168,2025-05-22
15926.89537811291,2025-05-23
-3709.4461593629094,2025-05-27
4365.204177856562,2025-05-28
-363.23538970947266,2025-05-29
1584.9630661010742,2025-05-30
3929.1627655029297,2025-06-02
-4404.13737487793,2025-06-03
-5070.1598129273625,2025-06-04
14805.84173583996,2025-06-05
2474.4654083251953,2025-06-06
5691.735916137695,2025-06-09
10572.76212097914,2025-06-10
1140.825372345047,2025-06-11
-15874.386040832615,2025-06-12
8135.529000404524,2025-06-13
-5031.563373565674,2025-06-16
1304.7349395751953,2025-06-17
-533.5935404319316,2025-06-18
10024.938690185547,2025-06-20
13860.001998901367,2025-06-23
-7414.314544677734,2025-06-24
11211.655364990234,2025-06-25
9437.138488769531,2025-06-26
8758.01823425293,2025-06-27
14922.55484008789,2025-06-30
-6448.169418334961,2025-07-01
3696.6979064941406,2025-07-02
-12328.854507446289,2025-07-03
3441.3794555664062,2025-07-07
