date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2024-03-04,0,-24,100,0,0,100,1,-9,-47,100,0,0,100,-95,2,0,100,-100,0,100,-95,-29,0,-36,85,0,-6,-63
2024-03-05,0,96,100,0,-61,-100,-1,100,100,-100,100,0,-73,1,0,0,-78,0,0,0,-60,1,0,-100,100,0,-100,0
2024-03-06,0,100,1,100,0,0,0,0,0,0,67,-100,0,0,-18,0,-100,-8,0,-83,-7,-36,-100,0,-32,0,100,0
2024-03-07,0,67,-100,-100,0,-21,1,-44,-65,0,-71,0,83,100,57,0,75,0,90,-26,70,90,0,-79,8,0,100,100
2024-03-08,0,0,0,0,-42,0,-1,-14,-10,0,0,0,-70,1,-56,0,-23,0,100,-70,100,-73,100,0,0,0,-100,-83
2024-03-11,0,-18,-93,19,100,78,0,-100,-29,0,-16,100,2,-33,22,0,-42,0,-55,100,-4,-33,-100,0,-54,0,-42,-88
2024-03-12,0,0,-78,3,0,0,0,0,-67,85,-70,-100,87,-43,-23,0,-39,0,0,-19,0,0,0,0,100,0,-87,-15
2024-03-13,0,-10,-66,52,0,-100,0,0,90,-24,72,5,63,0,0,0,2,0,-41,68,0,85,-3,50,-59,0,-100,100
2024-03-14,0,-17,0,-74,-100,-8,76,56,-43,100,0,-7,-39,-100,0,100,78,0,-100,-100,100,-91,0,-11,-29,27,-36,-81
2024-03-15,5,-83,47,100,-17,20,-48,47,84,-100,-59,-72,100,16,0,-100,-100,94,100,100,-66,-69,-69,48,30,55,-100,100
2024-03-18,73,-21,26,-100,55,-20,100,100,-34,-61,47,-15,-42,-88,100,0,47,100,100,100,0,0,-15,-18,-100,-13,72,-34
2024-03-19,0,0,-100,0,100,0,27,97,99,0,-39,0,-100,-52,-72,100,100,-8,-21,0,-71,100,100,0,-90,82,100,100
2024-03-20,-9,0,0,0,0,0,2,-41,-100,0,0,0,-90,0,0,-100,-25,0,-20,0,0,0,0,0,57,100,100,-33
2024-03-21,-69,100,100,81,100,0,0,-94,-71,0,-31,100,87,77,0,0,-100,-31,-100,45,-29,-100,-74,41,-50,-65,-43,-100
2024-03-22,0,85,100,-40,-98,0,100,-17,-25,0,98,39,-20,-95,51,0,100,-58,-85,-26,-33,0,-100,-100,0,100,100,-100
2024-03-25,0,0,-50,-41,0,0,0,-100,0,0,0,0,0,0,0,0,-100,-50,0,0,60,100,-100,0,0,100,0,100
2024-03-26,0,0,0,65,-54,0,0,0,1,0,-6,0,-62,-23,-36,0,0,100,-6,-57,-26,100,100,-10,0,0,-25,-67
2024-03-27,0,92,0,-65,-100,35,-50,0,-1,0,100,-80,-76,0,-43,0,0,0,100,100,0,1,-30,0,-7,0,0,1
2024-03-28,0,0,-96,100,0,0,-50,0,100,63,0,-35,0,-4,0,0,0,0,-42,100,-64,-30,0,0,0,0,0,-100
2024-04-01,0,-29,-12,0,100,-35,0,100,-76,-60,-100,-58,100,-42,0,91,-48,100,-49,100,3,-100,-58,0,0,0,10,0
2024-04-02,0,-38,-100,-100,-100,0,42,-100,100,8,-64,34,-26,67,59,27,35,-5,-100,-100,29,-58,-22,0,27,100,-92,-8
