account_value,date,daily_return
1026873.6815743193,2025-04-07,
1023440.4056809171,2025-04-08,-0.0033434257348368135
1070120.103292535,2025-04-09,0.045610567408232106
1046054.5513985378,2025-04-10,-0.022488645732336554
1063266.0332944996,2025-04-11,0.016453713501796585
1070768.8869739582,2025-04-14,0.0070564218591759875
1066900.439136777,2025-04-15,-0.003612775720551187
1052409.9683327763,2025-04-16,-0.013581839759785774
1029375.4582908909,2025-04-17,-0.02188739249436855
1028346.1124579823,2025-04-21,-0.0009999712200422506
1035656.4414092454,2025-04-22,0.007108821497647133
1040056.274039403,2025-04-23,0.004248351532647909
1044501.3692405139,2025-04-24,0.004273898741889104
1041951.5128681918,2025-04-25,-0.0024412187934000906
1046979.7192238513,2025-04-28,0.004825758486417753
1051023.5314840786,2025-04-29,0.0038623596866089738
1052913.030919099,2025-04-30,0.0017977708190342057
1047149.8626049205,2025-05-01,-0.005473546385068251
1065903.9508288966,2025-05-02,0.017909650656232623
1066587.3616271145,2025-05-05,0.0006411560794821192
1056392.6980928278,2025-05-06,-0.009558207701556132
1059252.9201122066,2025-05-07,0.002707536718629777
1064874.0023341915,2025-05-08,0.005306647841376133
1062554.839509637,2025-05-09,-0.0021778753349886992
1091301.4872986386,2025-05-12,0.02705427213739653
1058062.9908768246,2025-05-13,-0.03045766619826673
1049880.8847900936,2025-05-14,-0.0077330992174202695
1037799.7994934627,2025-05-15,-0.011507100921307245
1055464.9979950497,2025-05-16,0.017021778680444077
1070909.8537079403,2025-05-19,0.014633223974484633
1070089.6636520931,2025-05-20,-0.0007658815100144434
1040068.5181900569,2025-05-21,-0.028054794361416002
1036730.2430435725,2025-05-22,-0.003209668486354844
1033911.7502533504,2025-05-23,-0.002718636606903413
1049838.6456314633,2025-05-27,0.015404501761596467
1046129.1994721004,2025-05-28,-0.0035333488386987133
1050494.403649957,2025-05-29,0.004172719947076686
1050131.1682602474,2025-05-30,-0.0003457756542514234
1051716.1313263485,2025-06-02,0.0015093000893657837
1055645.2940918515,2025-06-03,0.0037359536936527604
1051241.1567169735,2025-06-04,-0.004171985987648119
1046170.9969040462,2025-06-05,-0.004823022558174461
1060976.8386398861,2025-06-06,0.014152410819698868
1063451.3040482113,2025-06-09,0.0023322520513240352
1069143.039964349,2025-06-10,0.005352135913013756
1079715.8020853281,2025-06-11,0.009889006172019599
1080856.6274576732,2025-06-12,0.0010565978289303057
1064982.2414168406,2025-06-13,-0.014686856367038592
1073117.770417245,2025-06-16,0.007639121746838784
1068086.2070436794,2025-06-17,-0.004688733624837238
1069390.9419832546,2025-06-18,0.0012215633260412861
1068857.3484428227,2025-06-20,-0.000498969571822161
1078882.2871330082,2025-06-23,0.009379117526572278
1092742.2891319096,2025-06-24,0.01284663041019285
1085327.9745872319,2025-06-25,-0.0067850531808079095
1096539.629952222,2025-06-26,0.010330200296600811
1105976.7684409916,2025-06-27,0.008606290398442518
1114734.7866752446,2025-06-30,0.007918808499565833
1129657.3415153325,2025-07-01,0.013386641395300103
1123209.1720969975,2025-07-02,-0.005708075521100309
1126905.8700034916,2025-07-03,0.003291192770080942
1114577.0154960454,2025-07-07,-0.010940447499317885
1118018.3949516118,2025-07-08,0.003087610284189024
