exp_key,learning_rate,gamma,net_dimension,batch_size,mean_sharpe,std_sharpe,min_sharpe,mean_return,worst_drawdown,consistency
lr1e-05_g0.95_net64x32_bs1024,1e-05,0.95,"[64, 32]",1024,3.998941280974428,1.6264129734779205,1.7179941329523154,0.037121593609752125,-0.037290614935466815,2.3163294891826594
lr1e-05_g0.95_net128x64_bs256,1e-05,0.95,"[128, 64]",256,4.562116832407099,1.480112789684353,2.705801651060784,0.04617291054754776,-0.03593468053364431,2.887209610725598
lr1e-05_g0.95_net128x64_bs512,1e-05,0.95,"[128, 64]",512,2.900018917628232,4.109149835792235,-1.558833514121896,0.02560076779375216,-0.060122832777032995,0.6889797300557248
lr1e-05_g0.95_net128x64_bs1024,1e-05,0.95,"[128, 64]",1024,6.253741939007647,4.693574023234406,-0.3795159456377019,0.06610988385723604,-0.04587933864438679,1.3046094435374986
lr1e-05_g0.97_net32x16_bs256,1e-05,0.97,"[32, 16]",256,3.7458144319724007,2.05437495568527,1.0550073823177888,0.03284633781104803,-0.04941369564308649,1.7387012516495395
lr1e-05_g0.97_net32x16_bs512,1e-05,0.97,"[32, 16]",512,6.298193268607409,3.136851660641841,1.8688893497288348,0.059915474175627,-0.04639886629583603,1.9457775421684071
lr1e-05_g0.97_net32x16_bs1024,1e-05,0.97,"[32, 16]",1024,0.5549976626204244,2.9027195200210345,-3.2934040049005446,0.012847719600587912,-0.04787221993703275,0.18483166973135623
lr1e-05_g0.97_net64x32_bs256,1e-05,0.97,"[64, 32]",256,3.2223906174829238,3.018742297457681,-0.8225048421400947,0.035752691186497154,-0.04760145343703252,1.033234012348418
lr1e-05_g0.97_net64x32_bs512,1e-05,0.97,"[64, 32]",512,2.508891169203632,2.7226296237732455,-1.0805922779170198,0.029534598008787993,-0.046433866951121096,0.8888488762651712
lr1e-05_g0.97_net64x32_bs1024,1e-05,0.97,"[64, 32]",1024,2.508896261236077,1.9347141412082942,0.8093318020585973,0.026526528544224215,-0.040352975265255275,1.2330460630436246
lr1e-05_g0.97_net128x64_bs256,1e-05,0.97,"[128, 64]",256,2.319811029918103,0.2010722081827913,2.04531880162981,0.016915146308881763,-0.03977921391365072,7.705164963315597
lr1e-05_g0.97_net128x64_bs512,1e-05,0.97,"[128, 64]",512,1.4843516817304565,1.1197116617124674,-0.08060324950124775,0.018760437194928075,-0.04723392704786776,1.21696932834637
lr1e-05_g0.97_net128x64_bs1024,1e-05,0.97,"[128, 64]",1024,2.7526068744398113,2.146036965276029,0.8914196396699682,0.03331865380814255,-0.04207740209994906,1.2255394354569435
lr3e-05_g0.9_net32x16_bs256,3e-05,0.9,"[32, 16]",256,3.824563808693288,3.5153979348434317,-0.24490108084435047,0.032762937221536635,-0.060811541747983144,1.057854177498421
lr3e-05_g0.9_net32x16_bs512,3e-05,0.9,"[32, 16]",512,2.064692125591285,3.6441804290847974,-2.11367595790636,0.02570669802791803,-0.04208755136963177,0.5514403391334334
lr3e-05_g0.9_net32x16_bs1024,3e-05,0.9,"[32, 16]",1024,5.5228642604147025,0.34404773564784796,5.113314894956956,0.05816970233017297,-0.040061493084695185,12.43754627496763
lr3e-05_g0.9_net64x32_bs256,3e-05,0.9,"[64, 32]",256,0.7202699043243918,1.3196254616648724,-1.1435423708165497,0.009713293426107161,-0.0481526542391378,0.5073661495756013
lr3e-05_g0.9_net64x32_bs512,3e-05,0.9,"[64, 32]",512,2.028854305102774,2.528488709729566,-1.202502989004279,0.020795323371946377,-0.05027512306977785,0.771871036612333
lr3e-05_g0.9_net64x32_bs1024,3e-05,0.9,"[64, 32]",1024,3.663498964948164,0.5793594988634513,2.982883254676324,0.03613450786948361,-0.04512626405857274,5.392577819368231
lr3e-05_g0.9_net128x64_bs256,3e-05,0.9,"[128, 64]",256,5.158335451121405,1.2927814799678892,3.545091445100161,0.05449738176147075,-0.05086384902720596,3.703621512285137
lr3e-05_g0.9_net128x64_bs512,3e-05,0.9,"[128, 64]",512,3.163397207783446,2.7496540482803633,0.37149061912877107,0.03548945903567069,-0.042985376346353604,1.1100986836252675
lr3e-05_g0.9_net128x64_bs1024,3e-05,0.9,"[128, 64]",1024,2.315041111123485,1.1028667368654577,1.266360430890534,0.02959325979001008,-0.046898879836272285,1.924603150267697
lr3e-05_g0.95_net32x16_bs256,3e-05,0.95,"[32, 16]",256,4.713215395539001,1.7618137289719178,2.304649641868361,0.03959125546603196,-0.039186138818711774,2.531518229883077
lr3e-05_g0.95_net32x16_bs512,3e-05,0.95,"[32, 16]",512,6.0038037616075774,3.980594981999711,0.3799011501935493,0.049982220041526894,-0.05536229178094865,1.4713059708428577
lr3e-05_g0.95_net32x16_bs1024,3e-05,0.95,"[32, 16]",1024,5.645357735534728,1.3164210390677662,3.941428769884366,0.06321845067955656,-0.04592699241542081,3.9856494501453357
lr3e-05_g0.95_net64x32_bs256,3e-05,0.95,"[64, 32]",256,1.6902016750471844,1.4877381572330148,0.14360454702296424,0.02341113411650538,-0.03982400030153926,1.0645342667790607
lr3e-05_g0.95_net64x32_bs512,3e-05,0.95,"[64, 32]",512,5.449377832349683,3.3146829795755797,1.0070759446743025,0.054996163142017496,-0.05597661138835402,1.5958663995879936
lr3e-05_g0.95_net64x32_bs1024,3e-05,0.95,"[64, 32]",1024,5.874040695948509,2.7870046170004734,2.1370888625188633,0.060425653811223334,-0.03522248048135908,2.0346488749475893
lr3e-05_g0.95_net128x64_bs256,3e-05,0.95,"[128, 64]",256,4.866422660095083,3.5530435811640437,2.2776422437191424,0.05086254966395772,-0.04831238110439227,1.3321556537643044
lr3e-05_g0.95_net128x64_bs512,3e-05,0.95,"[128, 64]",512,3.8909398531539767,3.444291300174414,0.9381145347328625,0.045395666780410814,-0.054682560277711505,1.0978047580238408
lr3e-05_g0.95_net128x64_bs1024,3e-05,0.95,"[128, 64]",1024,4.895647185739623,2.3782371482855034,2.490300618212175,0.04485990647043255,-0.032477255773475946,1.9754554922746335
lr3e-05_g0.97_net32x16_bs256,3e-05,0.97,"[32, 16]",256,0.8941567399045178,1.8456708828142747,-1.685610774513135,0.015470002225301779,-0.04177452218920253,0.45956217354251794
lr3e-05_g0.97_net32x16_bs512,3e-05,0.97,"[32, 16]",512,5.45853563460626,3.2653485341883255,0.850747296579866,0.047760806881715835,-0.03982085701021529,1.6219822639923926
lr3e-05_g0.97_net32x16_bs1024,3e-05,0.97,"[32, 16]",1024,2.512243873221702,1.2330813217835348,0.8749061165266603,0.025815913035716436,-0.04850913508926914,1.884539099130547
lr3e-05_g0.97_net64x32_bs256,3e-05,0.97,"[64, 32]",256,5.256291686872722,0.32847440240627407,4.798646705604423,0.054661275393446784,-0.03486631666267606,12.26745788629112
lr3e-05_g0.97_net64x32_bs512,3e-05,0.97,"[64, 32]",512,2.2854569125673825,2.5732546216203693,-0.9685631897531681,0.021715804900145796,-0.03407160298159962,0.8549342416107274
lr3e-05_g0.97_net64x32_bs1024,3e-05,0.97,"[64, 32]",1024,0.7482028783031488,0.6148836642633156,-0.04853919423969661,0.01902203449744307,-0.04848179831800078,1.0466078828002994
lr3e-05_g0.97_net128x64_bs256,3e-05,0.97,"[128, 64]",256,1.6339292229192213,1.3878556348579594,-0.07592678910359599,0.022897392539644252,-0.053248578665581706,1.0981772590290368
lr3e-05_g0.97_net128x64_bs512,3e-05,0.97,"[128, 64]",512,2.786680780944488,4.120912400060233,-2.2284860383835827,0.03342282572589561,-0.07575037577609608,0.6602081533141323
lr3e-05_g0.97_net128x64_bs1024,3e-05,0.97,"[128, 64]",1024,3.4442001655335237,0.895839898040947,2.6670470223259124,0.037177297363172025,-0.044197941619254666,3.458588245268222
lr1e-04_g0.9_net32x16_bs256,0.0001,0.9,"[32, 16]",256,3.4654594178889107,0.3540590371030685,2.967835981819122,0.04385998040510638,-0.03536178225473233,7.63217805331837
lr1e-04_g0.9_net32x16_bs512,0.0001,0.9,"[32, 16]",512,3.8516885170139523,0.5256612776420165,3.1885584425876807,0.04245380884127107,-0.046258698472054736,6.156188107933005
lr1e-04_g0.9_net32x16_bs1024,0.0001,0.9,"[32, 16]",1024,1.7945528605900318,2.3074959002660305,-0.603389021505849,0.018591855184632095,-0.04583163354886799,0.7454022498612488
lr1e-04_g0.9_net64x32_bs256,0.0001,0.9,"[64, 32]",256,3.1829528087075194,3.1608807341441687,-0.9667654153070704,0.04875159051085073,-0.048721502564616076,0.9761021847193986
lr1e-04_g0.9_net64x32_bs512,0.0001,0.9,"[64, 32]",512,3.633492016127466,3.9373438180238067,0.06158604124282471,0.03652203641784121,-0.04941368842539218,0.8999709164987545
lr1e-04_g0.9_net64x32_bs1024,0.0001,0.9,"[64, 32]",1024,1.769606632375264,2.262325572184884,-1.3224498801817353,0.015532427386606318,-0.04697311215308033,0.749095151494541
lr1e-04_g0.9_net128x64_bs256,0.0001,0.9,"[128, 64]",256,3.644128716508039,3.7485755756253076,-0.48713594921061854,0.03908493677865821,-0.04069166187337656,0.9468772653414632
lr1e-04_g0.9_net128x64_bs512,0.0001,0.9,"[128, 64]",512,3.23928893852545,2.7950455055044814,0.08405286457100644,0.038386119681271515,-0.05133641336698143,1.118907779641613
lr1e-04_g0.9_net128x64_bs1024,0.0001,0.9,"[128, 64]",1024,2.491187446657132,0.8350324879052553,1.6274834014270274,0.028528093710853925,-0.04059993866064994,2.6642790265374807
lr1e-04_g0.95_net32x16_bs256,0.0001,0.95,"[32, 16]",256,4.816298202474698,0.9446244848396907,3.630745760158532,0.05655594957071138,-0.0415452844033276,4.610554579537557
lr1e-04_g0.95_net32x16_bs512,0.0001,0.95,"[32, 16]",512,6.59479906684994,2.782707703718548,2.802082647779589,0.0540132942797796,-0.04131951827712024,2.2877099396317497
lr1e-04_g0.95_net32x16_bs1024,0.0001,0.95,"[32, 16]",1024,6.849263083284505,4.864145493211668,-0.020892682845329275,0.06299404837842386,-0.035568359065766074,1.3797466437377157
lr1e-04_g0.95_net64x32_bs256,0.0001,0.95,"[64, 32]",256,3.373448052503477,4.155393249930548,-0.9298236266347463,0.031143415816906977,-0.07551878233390337,0.7927464876621061
lr1e-04_g0.95_net64x32_bs512,0.0001,0.95,"[64, 32]",512,3.795848639361052,3.1853793451079326,-0.6081299650874291,0.036325564678317525,-0.037758777069528716,1.1553760587839663
lr1e-04_g0.95_net64x32_bs1024,0.0001,0.95,"[64, 32]",1024,3.1928358539992163,2.7688612618264905,-0.5992012532828023,0.04394675681887968,-0.041070892715878625,1.1129279399054886
lr1e-04_g0.95_net128x64_bs256,0.0001,0.95,"[128, 64]",256,4.336505461283385,1.6261105401253781,2.2834937546928575,0.04611435503753366,-0.04680487366145218,2.5122988131272272
lr1e-04_g0.95_net128x64_bs512,0.0001,0.95,"[128, 64]",512,4.566782363656833,1.2035433471766839,2.8820055866343837,0.04630867554446002,-0.03793948436615834,3.5033605699019734
lr1e-04_g0.95_net128x64_bs1024,0.0001,0.95,"[128, 64]",1024,3.624026443049454,2.0141707558445385,1.746892269169784,0.03581390580180047,-0.04645419809995852,1.7141597636004478
lr1e-04_g0.97_net32x16_bs256,0.0001,0.97,"[32, 16]",256,-0.5329109022274515,1.3285260896214643,-2.3053871986852172,0.002452758475844178,-0.059457486249623645,-0.37304947112913006
lr1e-04_g0.97_net32x16_bs512,0.0001,0.97,"[32, 16]",512,4.494097793700353,2.447135816215327,1.0372583011494965,0.04208905341155952,-0.03821201711108456,1.764373051915986
lr1e-04_g0.97_net32x16_bs1024,0.0001,0.97,"[32, 16]",1024,3.83526194715717,2.361312988555256,1.623739434518713,0.04569129370453662,-0.052350922579931625,1.55821789629786
lr1e-04_g0.97_net64x32_bs256,0.0001,0.97,"[64, 32]",256,3.879414365543944,1.2966287848222073,2.066706784919722,0.03196205308228824,-0.045039930908464955,2.777698990385479
lr1e-04_g0.97_net64x32_bs512,0.0001,0.97,"[64, 32]",512,2.619879189540083,5.164191403874854,-1.9234050052933402,0.017612708555711287,-0.08212193437147661,0.4976793183491862
lr1e-04_g0.97_net64x32_bs1024,0.0001,0.97,"[64, 32]",1024,3.2972534649856295,2.306223860205228,0.8582119982838874,0.044579037861471806,-0.0492828708849884,1.3703020402700208
lr1e-04_g0.97_net128x64_bs256,0.0001,0.97,"[128, 64]",256,1.201844711715772,2.6286419635899905,-2.048674586761199,0.013324179547502054,-0.040656553022153874,0.4404552622706651
lr1e-04_g0.97_net128x64_bs512,0.0001,0.97,"[128, 64]",512,5.228865786001278,2.779884346292235,1.3237499381158973,0.056089418075426334,-0.043741146802864464,1.8156513100025307
lr1e-04_g0.97_net128x64_bs1024,0.0001,0.97,"[128, 64]",1024,5.845128111081809,1.100552490780166,4.3130198275128935,0.06122647853119756,-0.03770417242382235,4.86869850004094
