,account_value,date,daily_return,datadate
0,1000000.0,2024-01-03,,2024-01-03
1,1000048.0875179862,2024-01-04,4.808751798623945e-05,2024-01-04
2,1000566.5157922404,2024-01-05,0.0005184033455238,2024-01-05
3,1006321.0144928286,2024-01-08,0.0057512405320019,2024-01-08
4,1003601.1869175532,2024-01-09,-0.0027027434944764,2024-01-09
5,1007805.3923852808,2024-01-10,0.0041891196647947,2024-01-10
6,1009631.7871861842,2024-01-11,0.0018122494825918,2024-01-11
7,1003242.2459768984,2024-01-12,-0.00632858561941,2024-01-12
8,997413.7741726232,2024-01-16,-0.0058096355368288,2024-01-16
9,995527.3739924892,2024-01-17,-0.0018912914870246,2024-01-17
10,997380.446398373,2024-01-18,0.0018613977418342,2024-01-18
11,1004282.3697477384,2024-01-19,0.0069200507933444,2024-01-19
12,1009040.1141779256,2024-01-22,0.0047374568881284,2024-01-22
13,1011212.6331041456,2024-01-23,0.0021530550626225,2024-01-23
14,1007605.058517018,2024-01-24,-0.0035675727033328,2024-01-24
15,1006881.084481217,2024-01-25,-0.0007185097272799,2024-01-25
16,1014223.4968408208,2024-01-26,0.0072922338822036,2024-01-26
17,1019610.7551503148,2024-01-29,0.0053117072580892,2024-01-29
18,1024053.9603820386,2024-01-30,0.0043577465314876,2024-01-30
19,1014480.8015818144,2024-01-31,-0.0093482952760154,2024-01-31
20,1025149.7623072286,2024-02-01,0.0105166709007986,2024-02-01
21,1027574.0488868224,2024-02-02,0.002364812116951,2024-02-02
22,1019674.3687915388,2024-02-05,-0.0076876991043529,2024-02-05
23,1020914.7426070068,2024-02-06,0.0012164411045636,2024-02-06
24,1023941.131239659,2024-02-07,0.0029643891956385,2024-02-07
25,1028521.2811902204,2024-02-08,0.0044730598379385,2024-02-08
26,1028115.988491372,2024-02-09,-0.00039405378018,2024-02-09
27,1028730.704175553,2024-02-12,0.0005979049942441,2024-02-12
28,1012190.0372128418,2024-02-13,-0.0160787141820242,2024-02-13
29,1019068.9026444138,2024-02-14,0.0067960216744609,2024-02-14
30,1028838.5640337416,2024-02-15,0.0095868506672869,2024-02-15
31,1026597.0338562249,2024-02-16,-0.0021786996093231,2024-02-16
32,1023124.5097732514,2024-02-20,-0.003382558071427,2024-02-20
33,1023197.3674127052,2024-02-21,7.121092179684929e-05,2024-02-21
34,1033806.1021497468,2024-02-22,0.0103682193435143,2024-02-22
35,1035831.6180351266,2024-02-23,0.0019592802568759,2024-02-23
36,1034348.200117833,2024-02-26,-0.0014321033375168,2024-02-26
37,1035308.6795471734,2024-02-27,0.000928584232303,2024-02-27
38,1035380.481624604,2024-02-28,6.935330384938432e-05,2024-02-28
39,1038502.8235574692,2024-02-29,0.0030156468933681,2024-02-29
40,1041340.3566459093,2024-03-01,0.0027323306437625,2024-03-01
41,1040048.1997623568,2024-03-04,-0.0012408593168466,2024-03-04
42,1028703.1145821236,2024-03-05,-0.0109082301982016,2024-03-05
43,1033019.7834927645,2024-03-06,0.004196224206431,2024-03-06
44,1041297.2963239106,2024-03-07,0.0080129276935616,2024-03-07
45,1038982.796321206,2024-03-08,-0.002222708164974,2024-03-08
46,1038389.7975631952,2024-03-11,-0.000570749352261,2024-03-11
47,1046213.706035718,2024-03-12,0.0075346546074346,2024-03-12
48,1051190.8410520067,2024-03-13,0.0047572833232591,2024-03-13
49,1046681.6947957658,2024-03-14,-0.0042895600685868,2024-03-14
50,1046635.090323617,2024-03-15,-4.45259264402198e-05,2024-03-15
51,1049771.243829957,2024-03-18,0.0029964154033572,2024-03-18
52,1057035.4224711657,2024-03-19,0.0069197729352028,2024-03-19
53,1065811.156665223,2024-03-20,0.008302213915917,2024-03-20
54,1072506.9019074524,2024-03-21,0.0062822998242761,2024-03-21
55,1062900.227332776,2024-03-22,-0.0089572146879344,2024-03-22
56,1060503.6482578248,2024-03-25,-0.0022547545040657,2024-03-25
57,1059536.7178555117,2024-03-26,-0.0009117652767169,2024-03-26
58,1078171.8151971635,2024-03-27,0.0175879674839103,2024-03-27
59,1079312.5847658091,2024-03-28,0.0010580591632669,2024-03-28
60,1073958.4605894708,2024-04-01,-0.0049606798363238,2024-04-01
61,1068400.153265191,2024-04-02,-0.0051755328797623,2024-04-02
62,1071277.399686532,2024-04-03,0.0026930419399022,2024-04-03
63,1056077.200860696,2024-04-04,,2024-04-04
64,1066274.0039529428,2024-04-05,0.0096553576612927,2024-04-05
65,1062275.106583852,2024-04-08,-0.0037503468660644,2024-04-08
66,1060688.6975375223,2024-04-09,-0.001493406968211,2024-04-09
67,1053867.077007821,2024-04-10,-0.0064313125477232,2024-04-10
68,1054442.4469631128,2024-04-11,0.0005459606508682,2024-04-11
69,1043065.4648474244,2024-04-12,-0.0107895714445629,2024-04-12
70,1038938.9895831425,2024-04-15,-0.003956103814525,2024-04-15
71,1033550.72444592,2024-04-16,-0.005186315261288,2024-04-16
72,1035055.0426792308,2024-04-17,0.0014554856358086,2024-04-17
73,1032499.1965969095,2024-04-18,-0.0024692851847814,2024-04-18
74,1034886.4696068622,2024-04-19,0.0023121306223006,2024-04-19
75,1042274.8487457936,2024-04-22,0.0071393136889092,2024-04-22
76,1053388.9453189175,2024-04-23,0.010663306887332,2024-04-23
77,1054268.74484575,2024-04-24,0.0008352086195153,2024-04-24
78,1038616.8672218143,2024-04-25,-0.0148461933453464,2024-04-25
79,1043297.631587083,2024-04-26,0.0045067286243762,2024-04-26
80,1044758.7212197334,2024-04-29,0.001400453320715,2024-04-29
81,1021126.0179542648,2024-04-30,-0.022620249810289,2024-04-30
82,1022632.0149536696,2024-05-01,0.0014748395133659,2024-05-01
83,1028995.4859046928,2024-05-02,0.0062226400679539,2024-05-02
84,1032193.1181040908,2024-05-03,0.0031075279174688,2024-05-03
85,1041630.3422702668,2024-05-06,0.0091428861524573,2024-05-06
86,1040671.1211261094,2024-05-07,-0.0009208844109386,2024-05-07
87,1044132.6931597628,2024-05-08,0.0033262881648021,2024-05-08
88,1052288.3520742487,2024-05-09,0.0078109410498443,2024-05-09
89,1059416.2541225408,2024-05-10,0.0067737156210478,2024-05-10
90,1056949.2106418775,2024-05-13,-0.0023286819237133,2024-05-13
91,1059582.3988138784,2024-05-14,0.0024913100322028,2024-05-14
92,1071280.6905895818,2024-05-15,0.0110404738591343,2024-05-15
93,1065795.7962131246,2024-05-16,-0.0051199414165101,2024-05-16
94,1070617.2654910025,2024-05-17,0.0045238208810816,2024-05-17
95,1069977.1786937308,2024-05-20,-0.000597867060343,2024-05-20
96,1067488.0614490218,2024-05-21,-0.0023263274154574,2024-05-21
97,1061762.9366741444,2024-05-22,-0.0053631745231006,2024-05-22
98,1045169.8584804568,2024-05-23,-0.0156278559182556,2024-05-23
99,1042111.7611277176,2024-05-24,-0.0029259333570769,2024-05-24
100,1034164.8425241142,2024-05-28,-0.0076257834332505,2024-05-28
101,1018983.7672517447,2024-05-29,-0.0146795507332433,2024-05-29
102,998481.9930953766,2024-05-30,-0.0201198240985355,2024-05-30
103,997525.9845791222,2024-05-31,-0.0009574619501057,2024-05-31
104,997729.2995514618,2024-06-03,0.0002038192242435,2024-06-03
105,999352.1175551316,2024-06-04,0.0016265113236619,2024-06-04
106,997949.330710584,2024-06-05,-0.0014036962747218,2024-06-05
107,997521.1481954778,2024-06-06,-0.0004290623801525,2024-06-06
108,994205.2066686716,2024-06-07,-0.0033241816805634,2024-06-07
109,994656.8618616344,2024-06-10,0.0004542876962754,2024-06-10
110,989184.752998004,2024-06-11,-0.0055015041603276,2024-06-11
111,987153.6951653168,2024-06-12,-0.0020532643942717,2024-06-12
112,982771.9461766654,2024-06-13,-0.0044387707913281,2024-06-13
113,982729.3480514575,2024-06-14,-4.3344873013051455e-05,2024-06-14
114,986180.4772407466,2024-06-17,0.0035117799179722,2024-06-17
115,989288.8421063625,2024-06-18,0.0031519229363703,2024-06-18
116,998223.1822290964,2024-06-20,0.0090310733756091,2024-06-20
117,994510.7786435062,2024-06-21,-0.0037190115914762,2024-06-21
118,1004346.5118555346,2024-06-24,0.0098900217305277,2024-06-24
119,997726.3300146,2024-06-25,-0.0065915316703831,2024-06-25
120,996022.2457459004,2024-06-26,-0.001707967623421,2024-06-26
121,996386.3584340948,2024-06-27,0.0003655668231803,2024-06-27
122,1002351.93860621,2024-06-28,0.0059872158240812,2024-06-28
123,1001386.1853016864,2024-07-01,-0.0009634872416832,2024-07-01
124,1001676.8873077384,2024-07-02,0.0002902995970173,2024-07-02
125,1003013.357455844,2024-07-03,0.0013342327900744,2024-07-03
126,1004520.1223388854,2024-07-05,,2024-07-05
127,1003154.4320537044,2024-07-08,-0.0013595449755662,2024-07-08
128,1002482.8305398648,2024-07-09,-0.0006694896542146,2024-07-09
129,1013664.3670064786,2024-07-10,0.0111538433636735,2024-07-10
130,1010426.4452548306,2024-07-11,-0.0031942740191313,2024-07-11
131,1015019.897845773,2024-07-12,0.0045460534138968,2024-07-12
132,1023741.5571246428,2024-07-15,0.0085925993149296,2024-07-15
133,1039578.3850589078,2024-07-16,0.0154695565731899,2024-07-16
134,1048364.8307681364,2024-07-17,0.0084519318942271,2024-07-17
135,1036075.9102664272,2024-07-18,-0.0117219885111033,2024-07-18
136,1023047.477092294,2024-07-19,-0.0125747863115387,2024-07-19
137,1026176.2327075284,2024-07-22,0.0030582702027934,2024-07-22
138,1025802.8700061124,2024-07-23,-0.0003638387730252,2024-07-23
139,1011949.382335214,2024-07-24,-0.0135050194106163,2024-07-24
140,1009044.6300998012,2024-07-25,-0.0028704521057263,2024-07-25
141,1034285.1914477628,2024-07-26,0.025014316111533,2024-07-26
142,1033250.9109884732,2024-07-29,-0.0009999954247066,2024-07-29
143,1034627.9889166348,2024-07-30,0.0013327623653816,2024-07-30
144,1033676.8768656248,2024-07-31,-0.0009192792590175,2024-07-31
145,1025566.5766420836,2024-08-01,-0.0078460691199109,2024-08-01
146,1015954.2779480872,2024-08-02,-0.0093726715680116,2024-08-02
147,1014938.3667892888,2024-08-05,-0.0009999575579817,2024-08-05
148,1016738.9263687568,2024-08-06,0.001774058049617,2024-08-06
149,1015021.4089271978,2024-08-07,-0.0016892413549001,2024-08-07
150,1024940.5959625676,2024-08-08,0.0097723919398444,2024-08-08
151,1026325.733993726,2024-08-09,0.0013514324992245,2024-08-09
152,1024070.8930818608,2024-08-12,-0.0021970031902941,2024-08-12
153,1034590.2790376714,2024-08-13,0.0102721266924727,2024-08-13
154,1044086.3079683356,2024-08-14,0.0091785406484747,2024-08-14
155,1053446.794189649,2024-08-15,0.0089652418098729,2024-08-15
156,1054903.2102357915,2024-08-16,0.0013825245415104,2024-08-16
157,1059493.598800855,2024-08-19,0.0043514784299854,2024-08-19
158,1059341.6364442876,2024-08-20,-0.0001434292351925,2024-08-20
159,1056830.1103517583,2024-08-21,-0.0023708367594794,2024-08-21
160,1054592.6148073247,2024-08-22,-0.0021171761880335,2024-08-22
161,1064585.486892896,2024-08-23,0.0094755756348596,2024-08-23
162,1067166.4084474614,2024-08-26,0.0024243441098357,2024-08-26
163,1067710.275604444,2024-08-27,0.0005096366908452,2024-08-27
164,1065574.6093904546,2024-08-28,-0.0020002300837465,2024-08-28
165,1075029.465835767,2024-08-29,0.0088730121401081,2024-08-29
166,1080104.832672315,2024-08-30,0.0047211420689776,2024-08-30
167,1070432.123321729,2024-09-03,-0.0089553430907761,2024-09-03
168,1074477.2431337407,2024-09-04,0.0037789596592627,2024-09-04
169,1069496.9036409429,2024-09-05,-0.0046351279420981,2024-09-05
