date,ensemble,dji
2024-04-04,1056077.200860696,1031172.404379027
2024-04-05,1066274.0039529428,1039375.9048745848
2024-04-08,1062275.106583852,1039075.6584470946
2024-04-09,1060688.6975375223,1038831.7669277883
2024-04-10,1053867.077007821,1027553.1669423361
2024-04-11,1054442.4469631128,1027488.1500760426
2024-04-12,1043065.4648474244,1014775.4220382548
2024-04-15,1038938.9895831425,1008146.3106998457
2024-04-16,1033550.72444592,1009852.4033646386
2024-04-17,1035055.0426792308,1008632.528324342
2024-04-18,1032499.1965969095,1009222.1676414501
2024-04-19,1034886.4696068622,1014859.8500395893
2024-04-22,1042274.8487457936,1021634.6492517476
2024-04-23,1053388.9453189175,1028680.0563841292
2024-04-24,1054268.74484575,1027537.4084402329
2024-04-25,1038616.8672218143,1017515.5229072787
2024-04-26,1043297.631587083,1021626.0916545789
2024-04-29,1044758.7212197334,1025538.1658919432
2024-04-30,1021126.0179542648,1010305.3298489301
2024-05-01,1022632.0149536696,1012639.466657149
2024-05-02,1028995.4859046928,1021252.0620417447
2024-05-03,1032193.1181040908,1033274.9642589866
2024-05-06,1041630.3422702668,1037992.8093224375
2024-05-07,1040671.1211261094,1038847.5254298914
2024-05-08,1044132.6931597628,1043446.1902986278
2024-05-09,1052288.3520742487,1052299.2332914742
2024-05-10,1059416.2541225408,1055640.8706248892
2024-05-13,1056949.2106418775,1053468.075831582
2024-05-14,1059582.3988138784,1056850.3095710776
2024-05-15,1071280.6905895818,1066198.1277855893
2024-05-16,1065795.7962131246,1065166.311161121
2024-05-17,1070617.2654910025,1068751.9443747834
2024-05-20,1069977.1786937308,1063493.6139974738
2024-05-21,1067488.0614490218,1065262.7406706798
2024-05-22,1061762.9366741444,1059867.3843777305
2024-05-23,1045169.8584804568,1043683.1939958229
2024-05-24,1042111.7611277176,1043798.8259185407
2024-05-28,1034164.8425241142,1038008.5678245408
2024-05-29,1018983.7672517447,1027019.5694505885
2024-05-30,998481.9930953766,1018201.5917339455
2024-05-31,997525.9845791222,1033559.2434624914
2024-06-03,997729.2995514618,1030479.1346474254
2024-06-04,999352.1175551316,1034226.3185978815
2024-06-05,997949.330710584,1036792.1366953001
2024-06-06,997521.1481954778,1038898.55793008
2024-06-07,994205.2066686716,1036569.3260860922
2024-06-10,994656.8618616344,1038414.1144415818
2024-06-11,989184.752998004,1035191.6573028812
2024-06-12,987153.6951653168,1034250.9477799766
2024-06-13,982771.9461766654,1032511.4596140377
2024-06-14,982729.3480514575,1030963.4737749826
2024-06-17,986180.4772407466,1036011.3081341318
2024-06-18,989288.8421063625,1037527.6726080393
2024-06-20,998223.1822290964,1045539.9838595369
2024-06-21,994510.7786435062,1045955.8622097449
2024-06-24,1004346.5118555346,1052925.7120207837
2024-06-25,997726.3300146,1044936.151454442
2024-06-26,996022.2457459004,1045354.0126625305
2024-06-27,996386.3584340948,1046322.6909176446
2024-06-28,1002351.93860621,1045115.1304683959
2024-07-01,1001386.1853016864,1046468.587513276
2024-07-02,1001676.8873077384,1050805.5151417812
2024-07-03,1003013.357455844,1050168.2872355403
2024-07-05,1004520.1223388854,1051981.5585868235
2024-07-08,1003154.4320537044,1051151.1585786415
2024-07-09,1002482.8305398648,1049739.9899333436
2024-07-10,1013664.3670064786,1061211.7620207367
2024-07-11,1010426.4452548306,1062077.1229441809
2024-07-12,1015019.897845773,1068680.0396863788
2024-07-15,1023741.5571246428,1074312.399676523
2024-07-16,1039578.3850589078,1094156.3195402608
2024-07-17,1048364.8307681364,1100664.372187016
2024-07-18,1036075.9102664272,1086422.965084273
2024-07-19,1023047.477092294,1076337.8368210238
2024-07-22,1026176.2327075284,1079755.1358367228
2024-07-23,1025802.8700061124,1078222.9084997708
2024-07-24,1011949.382335214,1064751.998225029
2024-07-25,1009044.6300998012,1066921.3491072808
2024-07-26,1034285.1914477628,1084401.076211769
2024-07-29,1033250.9109884732,1083081.0146680346
2024-07-30,1034627.9889166348,1088515.0888701247
2024-07-31,1033676.8768656248,1091172.3271519304
2024-08-01,1025566.5766420836,1077952.5093014296
2024-08-02,1015954.2779480872,1061636.6154118776
2024-08-05,1014938.3667892888,1034012.0655858422
2024-08-06,1016738.9263687568,1041877.1235494742
2024-08-07,1015021.4089271978,1035619.8502441368
2024-08-08,1024940.5959625676,1053868.1956796867
2024-08-09,1026325.733993726,1055232.088818675
2024-08-12,1024070.8930818608,1051477.7039632841
2024-08-13,1034590.2790376714,1062394.7976488315
2024-08-14,1044086.3079683356,1068880.203971372
2024-08-15,1053446.794189649,1083698.9358001756
2024-08-16,1054903.2102357915,1086282.495257578
2024-08-19,1059493.598800855,1092608.1249793235
2024-08-20,1059341.6364442876,1090963.3965478863
2024-08-21,1056830.1103517583,1092446.678603471
2024-08-22,1054592.6148073247,1087698.986310871
2024-08-23,1064585.486892896,1100049.8949659308
2024-08-26,1067166.4084474614,1101798.2538118616
2024-08-27,1067710.275604444,1102064.8960163237
2024-08-28,1065574.6093904546,1097814.901051739
2024-08-29,1075029.465835767,1104323.788586023
2024-08-30,1080104.832672315,1110415.8585216294
2024-09-03,1070432.123321729,1093687.4258319838
2024-09-04,1074477.2431337407,1094703.692676231
2024-09-05,1069496.9036409429,1088846.9566627624
2024-09-06,1061150.1542665532,1077884.1528850216
2024-09-09,1071637.209381299,1090819.6915320177
2024-09-10,1068857.8503572517,1088344.9805361626
2024-09-11,1067808.7088472417,1091677.851550527
2024-09-12,1073254.3757021,1097957.771180079
2024-09-13,1083740.466995435,1105892.8553351765
2024-09-16,1092396.1556703618,1111992.1261757172
2024-09-17,1091031.2345277837,1111567.3771455174
2024-09-18,1086715.901886182,1108813.5006322707
2024-09-19,1093483.505340772,1122761.8622124582
2024-09-20,1091829.7856599858,1123781.5729677612
2024-09-23,1091410.6444856694,1125418.9961333228
2024-09-24,1083795.8873445562,1127651.6941068107
2024-09-25,1079878.387436109,1119811.2653252736
2024-09-26,1082799.5474855474,1126767.1307702078
2024-09-27,1087931.8602754644,1130451.0719903687
2024-09-30,1088319.8010713628,1130909.2165217146
2024-10-01,1083507.1071016362,1126282.4785598274
2024-10-02,1085064.8156282476,1127339.133088273
2024-10-03,1079913.1294099858,1122398.4774156138
2024-10-04,1086159.8116504282,1131513.0489268096
2024-10-07,1071504.730526355,1120866.250078662
2024-10-08,1073512.8373375696,1124236.0648661691
2024-10-09,1085533.0732139505,1135767.6357728017
2024-10-10,1088585.36963948,1134221.319708804
2024-10-11,1096413.7305087217,1145168.051901618
2024-10-14,1106811.8181312422,1150547.649692464
2024-10-15,1071961.1832240615,1141870.246163457
2024-10-16,1090026.263246469,1150881.082899218
2024-10-17,1095557.196457252,1155191.8159315118
2024-10-18,1098128.4499896788,1156176.5657715523
2024-10-21,1093103.7236550078,1146977.8793418456
2024-10-22,1090475.6751466915,1146798.5872450683
2024-10-23,1078985.916183515,1135846.428283318
2024-10-24,1074432.176626634,1132090.3736528698
2024-10-25,1073270.6677048774,1125145.153023926
2024-10-28,1078085.3140719277,1132443.322355606
2024-10-29,1070401.3230973792,1128315.1166092628
2024-10-30,1073196.5158379243,1125870.2528425572
2024-10-31,1073263.6345131565,1115769.3660772047
2024-11-01,1077492.4257859264,1123483.2050372104
2024-11-04,1064767.5137223278,1116601.331499503
2024-11-05,1078904.2069979357,1128016.644317771
2024-11-06,1121624.988332088,1168306.3335924614
2024-11-07,1120503.3725050387,1168290.5750903583
2024-11-08,1122412.8097709194,1175227.4468440155
2024-11-11,1128290.957249431,1183352.989716586
2024-11-12,1117627.5773469997,1173143.358850627
2024-11-13,1115780.0240822404,1174404.6651845325
2024-11-14,1109217.1764412036,1168865.4995147737
2024-11-15,1107670.7578481918,1160693.7247453043
2024-11-18,1108673.119663732,1159213.9909617163
2024-11-19,1098004.5252167182,1155990.3858526638
2024-11-20,1111039.6691657803,1159718.0543071376
2024-11-21,1116334.120875379,1172057.900702443
2024-11-22,1122484.9345875925,1183443.3662915623
2024-11-25,1141391.8792591929,1195200.1481090474
2024-11-26,1142173.6948545794,1198505.989639672
2024-11-27,1142702.797764873,1194812.4472129315
2024-11-29,1147929.88810144,1199850.8890873834
2024-12-02,1143429.4968481136,1196413.8658538202
2024-12-03,1138316.701105369,1194370.8960712175
2024-12-04,1143093.3336659006,1202613.1144759166
2024-12-05,1114623.4676773867,1195978.6807295124
2024-12-06,1090492.4904741473,1192687.449730639
2024-12-09,1101664.770492,1186259.7550085164
2024-12-10,1102721.8292032084,1182142.715882869
2024-12-11,1072065.446861263,1179490.5912871764
2024-12-12,1052045.3546028647,1173227.2650472561
2024-12-13,1056009.1280903523,1170927.9847933585
2024-12-16,1036673.9342438406,1167973.7352732362
2024-12-17,1022015.2957194934,1160824.9064482434
2024-12-18,1023287.8168615716,1130821.6576921474
2024-12-19,1010491.641441772,1131232.2136343603
2024-12-20,1028233.7430732704,1144537.6074565474
2024-12-23,1034102.5549400306,1146319.257442683
2024-12-24,1037855.9403588958,1156740.8453799777
2024-12-26,1044596.4242055868,1157509.4637110396
2024-12-27,1040016.4814634472,1148597.1437036593
2024-12-30,1032453.073605186,1137416.8517247054
2024-12-31,1030010.9748541178,1136628.404814838
2025-01-02,1026880.3664414212,1132568.8685677263
2025-01-03,1038444.1524864956,1141648.687885542
2025-01-06,1037138.8286292072,1140965.5411652252
2025-01-07,1036556.8661323125,1136204.6993940491
2025-01-08,1049954.0104606396,1139059.0754935567
2025-01-10,1038562.1919241556,1120444.4231548125
2025-01-13,1063543.7078398394,1130026.8447648743
2025-01-14,1069393.4243550526,1135935.44816606
2025-01-15,1075091.9476851723,1154724.2789154686
2025-01-16,1045677.061330322,1152896.292671493
2025-01-17,1047342.2870596404,1161838.2511861403
2025-01-21,1069159.5457858597,1176211.1530746454
2025-01-22,1063682.0369605692,1179708.9143759178
2025-01-23,1077904.1121533792,1190618.2853518252
2025-01-24,1078940.831777418,1186856.0734258536
2025-01-27,1093023.2032929095,1194585.8796098444
2025-01-28,1091905.717148752,1198239.9736008565
2025-01-29,1086858.1102940768,1194584.3141957284
2025-01-30,1088484.168479105,1199088.9498565507
2025-01-31,1087395.697030113,1190072.9994346767
2025-02-03,1086704.4566658707,1186793.5612221458
2025-02-04,1086249.7197704965,1190377.002856046
2025-02-05,1087441.6386407816,1198852.5723250022
2025-02-06,1084478.456077246,1195495.5939332482
2025-02-07,1079045.7653793665,1183627.3546306882
2025-02-10,1080146.4209177042,1188089.3066666082
2025-02-11,1081677.8023285014,1191381.7899967742
2025-02-12,1082714.6253030116,1185368.199488861
2025-02-13,1089878.226655379,1194528.4810922497
2025-02-14,1081804.244971787,1190110.8824562891
2025-02-18,1089208.4460155875,1190385.0386485092
2025-02-19,1091595.673173127,1192288.5822138274
2025-02-20,1081545.2086708287,1180241.0508144903
2025-02-21,1065888.6954967603,1160240.3808172483
2025-02-24,1065945.8643092164,1161127.1357336142
2025-02-25,1066676.6535418786,1165400.4031880598
2025-02-26,1062687.2457611836,1160376.6762063003
2025-02-27,1060940.6740831442,1155203.817439736
2025-02-28,1075064.4299885014,1171271.3322895153
2025-03-03,1061178.5169471423,1153914.4380126796
2025-03-04,1042794.6005645284,1136007.7702982293
2025-03-05,1056961.1948824376,1148981.2963277786
2025-03-06,1051577.4945767983,1137559.7218530453
2025-03-07,1058704.2396667108,1143507.8780509008
2025-03-10,1036552.0806251,1119730.0725131128
2025-03-11,1028069.4737989968,1106953.4755793833
2025-03-12,1027012.190032342,1104748.0158115176
2025-03-13,1017455.70787597,1090391.7073126442
2025-03-14,1031077.98465471,1108415.1549201645
2025-03-17,1039390.9764381688,1117857.7328691776
2025-03-18,1036229.4332553702,1110902.9110336544
2025-03-19,1040072.879697776,1121143.8501819377
2025-03-20,1040422.5337878944,1120841.725257508
2025-03-21,1040617.8921444922,1121697.4849743727
2025-03-24,1049630.3547407829,1137673.0578350592
2025-03-25,1043050.0077766428,1137784.724042016
2025-03-26,1043833.0154730312,1134239.1654297286
2025-03-27,1042039.9700491724,1130095.7229859878
2025-03-28,1030264.8859912272,1110972.1023375911
2025-03-31,1041627.9799276324,1122135.9052878541
2025-04-01,1037245.9395398648,1121820.630884848
2025-04-02,1037619.972156728,1128108.5863068637
2025-04-03,1027901.5734172986,1083241.3130735352
2025-04-04,1026873.6815743193,1023635.1441313303
2025-04-07,1026873.6815743193,1014304.2323892739
2025-04-08,1023440.4056809172,1005754.6710130911
2025-04-09,1070120.103292535,1084911.6099355374
2025-04-10,1046054.5513985378,1057800.0984958562
2025-04-11,1063266.0332944996,1074338.9073555574
2025-04-14,1070768.8869739582,1082676.5116604045
2025-04-15,1066900.439136777,1078513.3449987993
2025-04-16,1052409.9683327763,1059823.3440605944
2025-04-17,1029375.4582908908,1045739.5219788839
2025-04-21,1028346.1124579824,1019775.9808910942
2025-04-22,1035656.4414092454,1046935.0809199082
2025-04-23,1040056.274039403,1058145.011406129
2025-04-24,1044501.369240514,1071151.306771178
2025-04-25,1041951.5128681918,1071688.348173981
2025-04-28,1046979.7192238512,1074736.418180135
2025-04-29,1051023.5314840786,1082752.1733426882
2025-04-30,1052913.030919099,1086538.9100898139
2025-05-01,1047149.8626049204,1088772.4429508308
2025-05-02,1065903.9508288966,1103853.0163808065
2025-05-05,1066587.3616271145,1101218.7375060385
2025-05-06,1056392.6980928278,1090803.9330299145
2025-05-07,1059252.9201122066,1098417.2724036588
2025-05-08,1064874.0023341917,1105216.0746322658
2025-05-09,1062554.839509637,1102034.9444262334
2025-05-12,1091301.4872986386,1133045.2762637616
2025-05-13,1058062.9908768246,1125840.6143352902
2025-05-14,1049880.8847900936,1123452.940364297
2025-05-15,1037799.7994934628,1130711.556899307
